record_id,raw_scientific_name,normalized_scientific_name,raw_synonym,raw_family,normalized_family,canonical_scientific_name,canonical_family,reconciliation_status,confidence,source_page_url,scrape_timestamp
8a9f2d1c37809be5,Abelmoschus esculentus (L.) Moench,abelmoschus esculentus (l.) moench,Abelmoschus officinalis(DC.) Endl. Abelmoschus longifolius(Willd.) Kostel. Hibiscus esculentusL.,Malvaceae,malvaceae,,,POTENTIAL_DUPLICATE,MEDIUM,https://mpbd.cu.ac.bd/plants.php?pageno=2,2026-09-22T15:35:26.637272+00:00
d78c63bc2b6dac7b,Gossypium arboreum L.,gossypium arboreum l.,Gossypium albiflorum Tod. Gossypium asiaticum Raf. Gossypium rubrum Forssk. Gossypium roxburghii,Malvaceae,malvaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=2,2026-09-22T15:35:26.637272+00:00
12cbc3e45de28bda,Viola odorata L.,viola odorata l.,Viola odorata f. odorata Viola wiedemannii Boiss.,Violaceae,violaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=2,2026-09-22T15:35:26.637272+00:00
eb78b55d85de3a45,Benincasa hispida (Thunb.) Cogn.,benincasa hispida (thunb.) cogn.,Benincasa cerifera Savi Benincasa vacua (F.Muell.) F.Muell. Cucurbita hispida Thunb. Cucurbita vi,Cucurbitaceae,cucurbitaceae,,,POTENTIAL_DUPLICATE,MEDIUM,https://mpbd.cu.ac.bd/plants.php?pageno=3,2026-09-22T15:44:31.936080+00:00
06df777393e349c9,Citrullus colocynthis (L.) Schard.,citrullus colocynthis (l.) schard.,Citrullus colocynthoides Pangalo Citrullus pseudocolocynthis M.Roem. Colocynthis officinalis Schrad,Cucurbitaceae.,cucurbitaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=3,2026-09-22T15:44:31.936080+00:00
7626b7ff277174e3,Momordica dioica Roxb. ex Willd.,momordica dioica roxb. ex willd.,Momordica hispida Dennst. ex Miq. Momordica roxburghii G. Don Momordica tuberosa Dennst. ex Miq.,Cucurbitaceae,cucurbitaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=3,2026-09-22T15:44:31.936080+00:00
77f2db910fe1c8c7,Mukia maderaspatana (L.) M. Roem,mukia maderaspatana (l.) m. roem,Bryonia maderaspatana(L.) Lam. Cucumis maderaspatanus L. Melothria maderaspatana (L.) Cogn. Bryon,Cucurbitaceae,cucurbitaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=3,2026-09-22T15:44:31.936080+00:00
0385d7692604bdc4,Brassica juncea (L.) Czern.,brassica juncea (l.) czern.,Brassica cernua (Thunb.) F.B. Forbes & Hemsl. Crucifera juncea E.H.L.Krause Sinapis juncea L. Sin,Brassicaceae,brassicaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=3,2026-09-22T15:44:31.936080+00:00
3cb40e622e70f16b,Raphanus raphanistrum subsp. SATIVUS(L.) Domin.,raphanus raphanistrum subsp. sativus(l.) domin.,Raphanus sativus L. Raphani strumgayanum Fisch. & C.A.Mey. Raphanus chinensis Mill. Raphanus cand,Brassicaceae,brassicaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=3,2026-09-22T15:44:31.936080+00:00
128a48244bff0b42,Moringa oleifera Lam.,moringa oleifera lam.,Guilandina moringa L. Hyperanthera moringa (L.) Vahl Moringa zeylanica Burmann.,Moringaceae,moringaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=3,2026-09-22T15:44:31.936080+00:00
