raw_family,normalized_family,occurrence_count,variant_count,normalization_type,review_required,notes
Juglandaceae,juglandaceae,1,1,CASE_ONLY,FALSE,
Lamiaceae,lamiaceae,24,1,CASE_ONLY,FALSE,
LAURACEAE / Lauraceae,lauraceae,12,2,CASE_ONLY,TRUE,"Variants: LAURACEAE, Lauraceae"
Lecythidaceae,lecythidaceae,1,1,CASE_ONLY,FALSE,
Leeaceae,leeaceae,4,1,CASE_ONLY,FALSE,
Liliaceae,liliaceae,7,1,CASE_ONLY,FALSE,
Linaceae,linaceae,2,1,CASE_ONLY,FALSE,
Loganiaceae,loganiaceae,2,1,CASE_ONLY,FALSE,
Loranthaceae,loranthaceae,3,1,CASE_ONLY,FALSE,
lridaceae,lridaceae,1,1,NO_CHANGE,FALSE,
Lygodiaceae,lygodiaceae,4,1,CASE_ONLY,FALSE,
Lythraceae,lythraceae,6,1,CASE_ONLY,FALSE,
MAGNOLIACEAE / Magnoliaceae,magnoliaceae,3,2,CASE_ONLY,TRUE,"Variants: MAGNOLIACEAE, Magnoliaceae"
Malphigiaceae,malphigiaceae,1,1,CASE_ONLY,FALSE,
Malvaceae,malvaceae,25,1,CASE_ONLY,FALSE,
Marantaceae,marantaceae,1,1,CASE_ONLY,FALSE,
Melasomaceae,melasomaceae,1,1,CASE_ONLY,FALSE,
Melastomaceae,melastomaceae,1,1,CASE_ONLY,FALSE,
Meliaceae,meliaceae,9,1,CASE_ONLY,FALSE,
Menispermaceae,menispermaceae,11,1,CASE_ONLY,FALSE,
Menyanthaceae,menyanthaceae,1,1,CASE_ONLY,FALSE,
Mimosaceae,mimosaceae,17,1,CASE_ONLY,FALSE,
Molluginaceae,molluginaceae,2,1,CASE_ONLY,FALSE,
Moraceae,moraceae,20,1,CASE_ONLY,FALSE,
Moringaceae,moringaceae,2,1,CASE_ONLY,FALSE,
Musaceae,musaceae,2,1,CASE_ONLY,FALSE,
Myricaeae,myricaeae,1,1,CASE_ONLY,FALSE,
Myrsinaceae,myrsinaceae,5,1,CASE_ONLY,FALSE,
Myrtaceae,myrtaceae,6,1,CASE_ONLY,FALSE,
Nyctaginaceae / Nyctaginaceae.,nyctaginaceae,6,2,CASE_ONLY | PUNCTUATION_ONLY,TRUE,"Variants: Nyctaginaceae, Nyctaginaceae."
Nymphaeaceae,nymphaeaceae,5,1,CASE_ONLY,FALSE,
Ochnaceae,ochnaceae,1,1,CASE_ONLY,FALSE,
Oleaceae,oleaceae,4,1,CASE_ONLY,FALSE,
Onagraceae,onagraceae,1,1,CASE_ONLY,FALSE,
Orchidaceae,orchidaceae,6,1,CASE_ONLY,FALSE,
Orobanchaceae,orobanchaceae,1,1,CASE_ONLY,FALSE,
Oxalidaceae,oxalidaceae,2,1,CASE_ONLY,FALSE,
Pandanaceae,pandanaceae,1,1,CASE_ONLY,FALSE,
Papaveraceae,papaveraceae,3,1,CASE_ONLY,FALSE,
Passifloraceae,passifloraceae,1,1,CASE_ONLY,FALSE,
Pedaliaceae,pedaliaceae,3,1,CASE_ONLY,FALSE,
Piperaceae,piperaceae,11,1,CASE_ONLY,FALSE,
Plumbaginaceae / Plumbaginaceae.,plumbaginaceae,3,2,CASE_ONLY | PUNCTUATION_ONLY,TRUE,"Variants: Plumbaginaceae, Plumbaginaceae."
Poaceae,poaceae,19,1,CASE_ONLY,FALSE,
Polygalaceae,polygalaceae,1,1,CASE_ONLY,FALSE,
Polygonaceae,polygonaceae,15,1,CASE_ONLY,FALSE,
Polypodiaceae,polypodiaceae,1,1,CASE_ONLY,FALSE,
Pontederiaceae,pontederiaceae,3,1,CASE_ONLY,FALSE,
Portulacaceae,portulacaceae,1,1,CASE_ONLY,FALSE,
Primulaceae,primulaceae,1,1,CASE_ONLY,FALSE,
Punicaeae,punicaeae,1,1,CASE_ONLY,FALSE,
Ranunculaceae,ranunculaceae,3,1,CASE_ONLY,FALSE,
Rhamnaceae,rhamnaceae,3,1,CASE_ONLY,FALSE,
Rhizophoraceae,rhizophoraceae,2,1,CASE_ONLY,FALSE,
Rosaceae,rosaceae,2,1,CASE_ONLY,FALSE,
Rubiaceae,rubiaceae,32,1,CASE_ONLY,FALSE,
Rutaceae,rutaceae,19,1,CASE_ONLY,FALSE,
Salicaceae,salicaceae,1,1,CASE_ONLY,FALSE,
Santalaceae,santalaceae,1,1,CASE_ONLY,FALSE,
Sapindaceae,sapindaceae,11,1,CASE_ONLY,FALSE,
Sapotaceae,sapotaceae,4,1,CASE_ONLY,FALSE,
Scrophulariaceae,scrophulariaceae,6,1,CASE_ONLY,FALSE,
Simarubaceae,simarubaceae,1,1,CASE_ONLY,FALSE,
Smilacaceae,smilacaceae,3,1,CASE_ONLY,FALSE,
