plant_index,term_raw,term_light
27,rhuematism,rhuematism
27,articular pains,articular pains
27,affection of theliver and speen,affection of theliver and speen
27,stimulant,stimulant
27,stomach upset,stomach upset
27,colic,colic
27,flatulence,flatulence
27,gout,gout
27,hyper tension,hyper tension
27,impotence,impotence
27,jaundice,jaundice
27,lumbago,lumbago
27,neuralgia,neuralgia
27,oedema,oedema
27,sleenomegaly,sleenomegaly
27,strangury,strangury
27,vo,vo
28,Ulcers,ulcers
28,dysentery,dysentery
28,blood purification,blood purification
28,abscesses,abscesses
28,abdominal pain,abdominal pain
28,astringent,astringent
28,oleagenous; biliousness,oleagenous; biliousness
28,stone in urinary tract,stone in urinary tract
28,acrid,acrid
28,bitter,bitter
28,cures blisters in mouth,cures blisters in mouth
28,wounds,wounds
28,ulcers,ulcers
28,diarrhoea,diarrhoea
28,aphthae,aphthae
28,sore throat,sore throat
28,coughs,coughs
28,dyspnoea,dyspnoea
28,hiccup,hiccup
28,intermittent,intermittent
29,Bronchitis,bronchitis
29,asthma,asthma
29,whooping cough.,whooping cough
30,Sexual tonic,sexual tonic
30,leucorrhoea.,leucorrhoea
31,Local pain,local pain
31,astringent,astringent
31,bowels,bowels
31,cough,cough
31,bronchitis,bronchitis
31,diarrhoea,diarrhoea
31,dysentery,dysentery
31,biliousness,biliousness
31,burning sensat,burning sensat
32,Mumps,mumps
33,Wounds,wounds
33,fistula,fistula
33,dysentery,dysentery
33,piles,piles
33,Jaundice,jaundice
33,boils,boils
33,bronchitis,bronchitis
33,gastric tumor,gastric tumor
33,gonorrhoea,gonorrhoea
33,gout,gout
33,hys,hys
34,Fever,fever
34,paralysis,paralysis
34,headache,headache
34,stomach pain,stomach pain
34,itch,itch
34,blood dysentery,blood dysentery
34,diarrhoea,diarrhoea
34,hyper acidity,hyper acidity
34,irregular,irregular
35,Diabetes,diabetes
35,manstrual trouble,manstrual trouble
35,menopause,menopause
35,vertigo,vertigo
35,dysentery,dysentery
35,bronchitis,bronchitis
35,asthma,asthma
35,consumption,consumption
35,ascites,ascites
36,Abdominal pain,abdominal pain
36,asthma,asthma
36,bronchitis,bronchitis
36,cough,cough
36,gastric ulcers,gastric ulcers
36,Jaundice,jaundice
36,anaemia,anaemia
36,ill health,ill health
36,lumps in t,lumps in t
37,Weakness,weakness
37,nervine tonic,nervine tonic
37,skin disease,skin disease
37,rheumatism,rheumatism
37,purgative,purgative
37,emmenagogue,emmenagogue
37,fever,fever
37,cholera,cholera
37,diuretic,diuretic
38,Abortion,abortion
38,jaundice,jaundice
38,marasmus.,marasmus
39,Alexiteric,alexiteric
39,anthelmintic,anthelmintic
39,diuretic,diuretic
39,galactagogue,galactagogue
39,eye diseases,eye diseases
39,ringworm,ringworm
39,skin diseases.,skin diseases
40,Astringent,astringent
40,tonic,tonic
40,diarrhoea,diarrhoea
40,dysentery,dysentery
40,paludism,paludism
40,antipyretic,antipyretic
40,anthelmintic,anthelmintic
40,alexiteric,alexiteric
40,itching,itching
40,l,l
41,Galactagogue,galactagogue
41,stimulant,stimulant
41,emmenagogue,emmenagogue
41,astringent,astringent
41,diarrhoea,diarrhoea
41,enlargement of the spleen,enlargement of the spleen
41,itches,itches
41,skin,skin
42,Suppurative,suppurative
42,aperient,aperient
42,diuretic,diuretic
42,emmenagogue,emmenagogue
42,dropsy,dropsy
42,chronic cough,chronic cough
42,spleen enlargement,spleen enlargement
42,liver enlar,liver enlar
43,Astringent,astringent
43,stimulant,stimulant
43,febrifuge,febrifuge
43,purgative,purgative
43,aphthae of mouth,aphthae of mouth
43,abdominal pain,abdominal pain
43,anaemia,anaemia
43,antenata car,antenata car
44,Cough,cough
44,colds,colds
44,sore throats.,sore throats
45,Appetizer,appetizer
45,stomach upset,stomach upset
45,dyspepsia,dyspepsia
45,refrigerant,refrigerant
45,stomachic,stomachic
45,diuretic,diuretic
45,stimulant,stimulant
45,expectorant,expectorant
45,carmina,carmina
46,Stimulant,stimulant
46,stomachic,stomachic
46,carminative,carminative
46,antispasmodic,antispasmodic
46,diuretic,diuretic
46,hiccup,hiccup
46,bilious vomiting,bilious vomiting
46,flatulence,flatulence
46,co,co
47,Colic,colic
47,fever,fever
47,snake bite,snake bite
47,flatulence.,flatulence
48,Aphrodisiac,aphrodisiac
48,eczema,eczema
48,ringworm,ringworm
48,skin diseases,skin diseases
48,cancer,cancer
48,prickly heat,prickly heat
48,dandruff,dandruff
48,inflammatory skin dise,inflammatory skin dise
49,Dandruff,dandruff
49,tonic,tonic
49,laxative,laxative
49,emollient,emollient
49,demulcent,demulcent
49,diuretic,diuretic
49,nourishing,nourishing
49,galactagogue,galactagogue
49,emmenagogue,emmenagogue
49,ap,ap
50,Diarrhoea,diarrhoea
50,cholera,cholera
50,fever,fever
50,cardiac diseases.,cardiac diseases
51,Ear diseases.,ear diseases
52,Constipation,constipation
52,Skin Diseases.,skin diseases
53,Brain and hair tonic,brain and hair tonic
53,Female disease,female disease
53,rheumatic fever,rheumatic fever
53,boils,boils
53,jaundice,jaundice
53,burning wound,burning wound
53,foot mud sore,foot mud sore
54,Astringent,astringent
54,digestive,digestive
54,tonic,tonic
54,jaundice,jaundice
54,Tubers are astringent,tubers are astringent
54,digestive,digestive
54,tonic,tonic
54,stimulant,stimulant
54,stomachi,stomachi
55,Jaundice,jaundice
55,lipoma,lipoma
55,stomachache,stomachache
55,tuberculosis,tuberculosis
55,vaginocele,vaginocele
55,diuretic,diuretic
55,tonic,tonic
55,demulcent,demulcent
55,cooling,cooling
55,aperie,aperie
56,Fever,fever
56,delivery weakness.,delivery weakness
57,Anal fissure,anal fissure
57,anorexia,anorexia
57,asthma,asthma
57,constipation,constipation
57,diarrhoea,diarrhoea
57,duodenal ulcer,duodenal ulcer
57,dysmenorrhoea,dysmenorrhoea
57,fever,fever
57,flatu,flatu
58,Weakness,weakness
58,sexual tonic,sexual tonic
58,headache.,headache
59,Abortion,abortion
59,anaemia,anaemia
59,chicken pox,chicken pox
59,diabetes,diabetes
59,jaundice,jaundice
59,leismoniasis,leismoniasis
59,marasmus,marasmus
59,navel-string infection,navel-string infection
60,Boils,boils
60,piles,piles
60,gout,gout
60,paralysis.,paralysis
61,Anthelmintic,anthelmintic
61,purgative,purgative
61,ulcers,ulcers
61,wounds,wounds
61,tumor,tumor
61,bronchitis,bronchitis
61,cholera,cholera
61,lipoma,lipoma
61,lumbago,lumbago
61,paralysis,paralysis
61,par,par
62,Asthma,asthma
62,constipation,constipation
62,dehydration,dehydration
62,febric convulsion,febric convulsion
62,gonorrhoea,gonorrhoea
62,hysteria,hysteria
62,jaundice,jaundice
62,meningitis,meningitis
62,me,me
63,Anorexia,anorexia
63,Hyper tension,hyper tension
64,Expectorant,expectorant
64,emetic,emetic
64,excessive salivation,excessive salivation
64,epilepsy,epilepsy
64,chlorosis,chlorosis
64,insecticidal,insecticidal
64,dental caries,dental caries
64,fever,fever
65,Fever,fever
65,hemiepilepsy,hemiepilepsy
65,astringent,astringent
65,leprosy,leprosy
65,skin diseases,skin diseases
65,inflammations,inflammations
65,ulcers,ulcers
65,back pain,back pain
65,bowls,bowls
65,to,to
66,Anthelmintic,anthelmintic
66,piles,piles
66,skin diseases.,skin diseases
67,Carminative,carminative
67,tonic,tonic
67,aphrodisiac,aphrodisiac
67,stimulant,stimulant
67,piles,piles
67,anthelmintic,anthelmintic
67,rheumatism,rheumatism
67,sprains,sprains
67,leucoderma,leucoderma
67,le,le
68,Cough,cough
68,scurvy,scurvy
68,antiseptic,antiseptic
68,antirheumatic,antirheumatic
68,antibacterial,antibacterial
68,antioxidant,antioxidant
68,appetizer,appetizer
68,stomachic,stomachic
68,nausea,nausea
69,Cough,cough
69,appetizer,appetizer
69,fever and bronchitis,fever and bronchitis
69,rheumatism,rheumatism
69,stomachache.,stomachache
70,Tuberculosis,tuberculosis
70,pneumonia,pneumonia
71,: Tonic,tonic
71,stomachic,stomachic
71,dysentery,dysentery
71,bruises,bruises
71,eruptions,eruptions
71,vomiting,vomiting
71,febrifuge,febrifuge
71,stimulants,stimulants
71,purgative,purgative
71,kidne,kidne
72,Sexual tonic,sexual tonic
73,Carminative,carminative
73,fever,fever
73,pain,pain
74,Cirorhosis,cirorhosis
74,constipation,constipation
74,diarrhoea,diarrhoea
74,flatulence,flatulence
74,gastric tumor,gastric tumor
74,gynecological disease,gynecological disease
74,hiccup,hiccup
74,worm,worm
75,Cirorhosis,cirorhosis
75,Flatulence,flatulence
75,gout,gout
75,hyper acidity,hyper acidity
75,rheumatism.,rheumatism
76,Anthelmintic,anthelmintic
76,antigout,antigout
76,antimicrobial,antimicrobial
76,cardiotonic,cardiotonic
76,carminative,carminative
76,condiment,condiment
76,digestive,digestive
76,emmenagogue,emmenagogue
77,Constipation,constipation
77,diarrhoea,diarrhoea
77,duodenal ulcer,duodenal ulcer
77,fever,fever
77,flatulence,flatulence
77,gastric tumor,gastric tumor
77,hiccup,hiccup
77,hook worm infesta,hook worm infesta
78,Abdominal pain,abdominal pain
78,ameobic dysentery,ameobic dysentery
78,anaemia,anaemia
78,blood dysentery,blood dysentery
78,diarrhoea,diarrhoea
78,eclampsia,eclampsia
78,fever,fever
78,gastric tu,gastric tu
79,Abdominal pain,abdominal pain
79,anaemia,anaemia
79,asthma,asthma
79,body pain,body pain
79,bone fracture,bone fracture
79,bronchitis,bronchitis
79,chest pain,chest pain
79,colic,colic
79,constipati,constipati
80,Diarrhoea,diarrhoea
80,dysentery,dysentery
80,blood dysentery,blood dysentery
81,Diabetes,diabetes
82,Urinary problems,urinary problems
82,tonic.,tonic
83,Asthma,asthma
83,scabies,scabies
83,antihelmintic,antihelmintic
83,sedative and lice infestation,sedative and lice infestation
83,rheumatism.,rheumatism
84,Digestive,digestive
84,mild aperient,mild aperient
84,promoter of gastric secretion,promoter of gastric secretion
84,blood purifier,blood purifier
84,intestinal antiseptic; usef,intestinal antiseptic; usef
85,Carminative,carminative
85,expectorant,expectorant
85,vomiting and asthma.,vomiting and asthma
86,Purgative,purgative
87,Bitter tonic,bitter tonic
87,galactogogue,galactogogue
87,piles,piles
87,abdominal pain,abdominal pain
87,fever,fever
87,leprosy,leprosy
87,ulcer,ulcer
87,gonorrhoea,gonorrhoea
87,cough,cough
87,blood d,blood d
88,Stomachic,stomachic
89,Expectorant,expectorant
89,emetic,emetic
89,excessive salivation,excessive salivation
89,epilepsy,epilepsy
89,chlorosis,chlorosis
89,insecticidal,insecticidal
89,dental caries,dental caries
89,fever,fever
90,Fever,fever
90,hemiepilepsy,hemiepilepsy
90,astringent,astringent
90,leprosy,leprosy
90,skin diseases,skin diseases
90,inflammations,inflammations
90,ulcers,ulcers
90,back pain,back pain
90,bowls,bowls
90,to,to
91,Fruits are cooling,fruits are cooling
91,stomachic,stomachic
91,astringent and aphrodisiac,astringent and aphrodisiac
91,used in chronic dysentery,used in chronic dysentery
91,gonorrhoea,gonorrhoea
91,urinary discharges,urinary discharges
91,strangury and diarrhoea.,strangury and diarrhoea
92,leucoderma,leucoderma
92,fevers,fevers
