plant_index,term_raw,term_light
157,fever and rheumatism.,fever and rheumatism
158,Alexiteric,alexiteric
158,antipyretic,antipyretic
158,useful in dyspepsia,useful in dyspepsia
158,bronchitis,bronchitis
158,inflammations,inflammations
158,piles,piles
158,hiccup,hiccup
158,rheumatism and  febrifuge.,rheumatism and febrifuge
159,Refrigerant,refrigerant
159,demulcent,demulcent
159,leucorrhoea  and stomachic.,leucorrhoea and stomachic
160,diarrhoea,diarrhoea
161,diuretic,diuretic
161,cardiac,cardiac
161,cough,cough
161,chronic bronchitis,chronic bronchitis
161,asthma,asthma
161,and cancer .,and cancer
162,lumbago,lumbago
162,rheumatism,rheumatism
162,windy colic,windy colic
162,dry coughs,dry coughs
162,aphthae and sore-throat.,aphthae and sore-throat
163,Lumbago,lumbago
163,inflammation  of  the  intestine  and  the  bladder,inflammation of the intestine and the bladder
163,colic,colic
163,bronchitis.,bronchitis
164,heart trouble,heart trouble
164,fractured bone,fractured bone
164,cough,cough
164,chills,chills
164,fevers and  gonorrhoea.,fevers and gonorrhoea
165,abortifacient,abortifacient
165,laxative,laxative
165,aphrodisiac,aphrodisiac
165,fever,fever
165,asthma,asthma
165,dysentery,dysentery
165,rheumatism,rheumatism
165,bleeding piles,bleeding piles
165,catarrh  and  diarrhoea.,catarrh and diarrhoea
166,hypnotic,hypnotic
166,tumours,tumours
166,bowels,bowels
166,ulcer  and piles,ulcer and piles
167,cooling,cooling
167,aphrodisiac,aphrodisiac
167,strangury,strangury
167,splenic enlargement,splenic enlargement
167,burning sensation,burning sensation
167,leprosy,leprosy
167,diuretic,diuretic
167,dysentery,dysentery
167,gonorrhea,gonorrhea
167,ulcers and measles.,ulcers and measles
168,cough,cough
168,asthma,asthma
168,bronchitis,bronchitis
168,stimulant,stimulant
168,cathartic,cathartic
168,emetic,emetic
168,stomachic,stomachic
168,diarrhoea,diarrhoea
168,rheumatism,rheumatism
168,pains,pains
168,dysentery  and diaphoretic properties.,dysentery and diaphoretic properties
169,demulcent,demulcent
169,astringent,astringent
169,diarrhea,diarrhea
169,dysentery,dysentery
169,gonorrhoea,gonorrhoea
169,tonic,tonic
169,diuretic and cooling.,diuretic and cooling
170,dropsy,dropsy
170,chronic cough,chronic cough
170,hypertension,hypertension
170,diabetes,diabetes
170,sexual problems,sexual problems
170,rheumatism,rheumatism
170,bronchitis,bronchitis
170,tumour,tumour
170,dysentery.,dysentery
171,bronchial catarrh,bronchial catarrh
171,dysentery,dysentery
171,diarrhoea and  restoration of hairs.,diarrhoea and restoration of hairs
172,Catarrh,catarrh
172,dysentery,dysentery
172,diarrhoea,diarrhoea
172,bronchitis.,bronchitis
173,Boils,boils
173,bilious disorders,bilious disorders
173,skin diseases,skin diseases
173,fever,fever
174,Asthma,asthma
174,earache,earache
174,ozoena,ozoena
174,inflammations,inflammations
174,epilepsy and rheumatism,epilepsy and rheumatism
174,hemicrania,hemicrania
174,ophthalmia and leprosy.,ophthalmia and leprosy
175,Burning urination,burning urination
175,gonorrhoea,gonorrhoea
175,gleet,gleet
175,stones of bladder,stones of bladder
175,lumbago,lumbago
175,postpartum haemorrhage,postpartum haemorrhage
175,dysentery,dysentery
175,micturation,micturation
175,urinary disorders,urinary disorders
175,impotence,impotence
175,cough,cough
175,spermatorrhoea,spermatorrhoea
175,scabies,scabies
175,anemia,anemia
175,ophthalmia.,ophthalmia
176,asthma,asthma
176,amenorrhoea,amenorrhoea
176,rheumatism,rheumatism
176,oedema,oedema
176,dropsy,dropsy
176,ascites.,ascites
177,Bile,bile
177,phlegm,phlegm
177,rheumatism,rheumatism
177,gout,gout
177,flatulence,flatulence
177,swellings.,swellings
178,Dropsy,dropsy
179,Diarrhoea,diarrhoea
179,epilepsy,epilepsy
179,muscular pains,muscular pains
179,fever  with  vomoting,fever with vomoting
180,Diarrhoea,diarrhoea
180,bilious  affections,bilious affections
180,weakness,weakness
180,leucorrhoea.,leucorrhoea
181,Itching,itching
181,bronchitis,bronchitis
181,fever,fever
181,jaundice.,jaundice
182,Gonorrhoea.,gonorrhoea
183,astringent,astringent
183,expectorant,expectorant
183,tonic,tonic
183,antiperiodic,antiperiodic
183,fevers,fevers
183,rheumatism,rheumatism
183,menstrual disorders and dysentery.,menstrual disorders and dysentery
184,tonic,tonic
184,stimulant,stimulant
184,astringent,astringent
184,anti-diarrhoetic,anti-diarrhoetic
184,antiperiodic,antiperiodic
184,febrifuge,febrifuge
184,owels and rheumatism.,owels and rheumatism
185,tonic,tonic
185,febrifuge,febrifuge
185,fever,fever
185,intermittent fever,intermittent fever
185,malarial fever,malarial fever
185,chronic rheumatism and  debility.,chronic rheumatism and debility
186,stomachic,stomachic
186,febrifuge,febrifuge
186,tonic,tonic
186,expectorant,expectorant
186,stimulates,stimulates
186,pimples,pimples
186,gonorrhoea,gonorrhoea
186,cough,cough
186,fever,fever
186,skin affections,skin affections
186,cardiac problems,cardiac problems
186,rheumatism,rheumatism
186,haemoptysis,haemoptysis
186,colic,colic
186,jaundice,jaundice
186,burning sensation and dropsy.,burning sensation and dropsy
187,snake-bites.,snake-bites
188,eye diseases,eye diseases
188,urinary bladder and elephantiasis.,urinary bladder and elephantiasis
189,cardiac tonic,cardiac tonic
189,cardiac stimulant,cardiac stimulant
189,cathartic,cathartic
189,febrifuge,febrifuge
189,emetic,emetic
189,fevers,fevers
189,purgative and abortifacient.,purgative and abortifacient
190,scabies,scabies
190,psoriasis,psoriasis
190,ringworm,ringworm
190,eczema,eczema
190,peduncles,peduncles
190,sprains,sprains
190,bruises,bruises
190,cutaneous diseases,cutaneous diseases
190,dysentery,dysentery
190,gonorrhea,gonorrhea
190,cholera and haemorrhoides.,cholera and haemorrhoides
191,diuretic and cardiotonic.,diuretic and cardiotonic
192,stomachic,stomachic
192,tonic,tonic
192,carminative,carminative
192,expectorant,expectorant
192,antidysenteric,antidysenteric
192,asthma,asthma
192,sore throat,sore throat
192,heart,heart
192,piles,piles
192,leucoderma,leucoderma
192,constipation,constipation
192,painful menstruation and indigestion,painful menstruation and indigestion
192,ulcers,ulcers
192,wounds,wounds
192,fever,fever
192,urinary diseases,urinary diseases
192,rheumatism,rheumatism
192,flatulence,flatulence
192,hiccup,hiccup
192,colic,colic
192,astringent,astringent
192,aper,aper
193,Aphrodisiac,aphrodisiac
193,bowels,bowels
193,bronchitis,bronchitis
193,vesicating,vesicating
193,astringent,astringent
193,diuretic,diuretic
193,cardiotonic,cardiotonic
193,leprosy,leprosy
193,scabies,scabies
193,colic and headache.,colic and headache
194,Hepatitis,hepatitis
194,bronchitis,bronchitis
194,asthma,asthma
194,dyspepsia,dyspepsia
194,piles,piles
194,diarrhoea,diarrhoea
194,coughs,coughs
194,hoarseness of voice,hoarseness of voice
194,eye diseases,eye diseases
194,scorpion-sting,scorpion-sting
194,dysenteric-diarrhoea,dysenteric-diarrhoea
194,dropsy,dropsy
194,piles,piles
194,leprosy,leprosy
194,rheumatism.,rheumatism
195,anaemia,anaemia
195,excessive perspiration,excessive perspiration
195,dysentery,dysentery
195,asthma,asthma
195,hypertension,hypertension
195,wounds,wounds
195,skin eruptions,skin eruptions
195,menstrual problems,menstrual problems
195,pains and leucorrhoea,pains and leucorrhoea
196,bronchitis,bronchitis
196,bilious attacks,bilious attacks
196,boils,boils
196,pimples,pimples
196,bleeding piles,bleeding piles
196,cough,cough
196,liver disorders,liver disorders
196,scabies,scabies
196,itch,itch
196,eczema and other skin diseases,eczema and other skin diseases
197,piles,piles
197,leucoderma,leucoderma
197,dysentery,dysentery
197,eczema,eczema
197,ringworm,ringworm
197,bronchitis.,bronchitis
198,Dysentery,dysentery
198,diarrhoea,diarrhoea
198,ulcers.,ulcers
200,Fever,fever
200,dyspepsia,dyspepsia
200,gastritis,gastritis
200,diarrhoea,diarrhoea
200,inflammatory swellings,inflammatory swellings
200,sprains,sprains
200,tumours and ringworms.,tumours and ringworms
201,Rheumatism,rheumatism
201,cold,cold
201,bronchitis,bronchitis
201,kidney troubles,kidney troubles
201,muscular pains,muscular pains
201,piles,piles
201,ulcers,ulcers
201,bleeding piles.,bleeding piles
202,Haemorrhagic diathesis,haemorrhagic diathesis
202,skin diseases,skin diseases
202,leprosy.,leprosy
203,Paralysis,paralysis
203,strangury,strangury
203,toothache,toothache
204,Dysentery,dysentery
204,bronchitis,bronchitis
204,ulcers,ulcers
204,rheumatism.,rheumatism
205,Asthma,asthma
205,fatigue,fatigue
205,dysentery,dysentery
206,Blood dysentery.,blood dysentery
207,Bowels,bowels
207,bronchitis,bronchitis
207,asthma,asthma
207,dysentery,dysentery
207,Jaundice,jaundice
208,Bowels,bowels
208,dysentery,dysentery
208,bowel complaints,bowel complaints
208,inflammations,inflammations
208,vaginal discharges,vaginal discharges
208,leprosy,leprosy
208,abortion and miscarriages,abortion and miscarriages
209,sore and stomach troubles,sore and stomach troubles
210,Fevers,fevers
210,epilepsy,epilepsy
210,dysentery,dysentery
210,dyspepsia,dyspepsia
211,Fever,fever
212,strangury,strangury
213,Dysuria,dysuria
213,dysentery,dysentery
213,epistaxis,epistaxis
213,piles,piles
213,diarrhoea,diarrhoea
213,fever,fever
213,inflammatory swellings and boils.,inflammatory swellings and boils
214,Asthma,asthma
214,cough,cough
214,rheumatism,rheumatism
214,chronic dyspepsia,chronic dyspepsia
216,Rheumatism,rheumatism
216,impotency,impotency
216,seminal weakness,seminal weakness
217,Itch,itch
217,skin  diseases,skin diseases
218,Fever,fever
218,diarrhoea,diarrhoea
218,urinary  diseases,urinary diseases
218,dyspepsia,dyspepsia
218,urethritis,urethritis
218,gastritis,gastritis
218,vertigo,vertigo
218,dysentery,dysentery
218,asthma,asthma
218,hydrocele,hydrocele
219,stomach  pain,stomach pain
220,intestinal worms,intestinal worms
220,venereal diseases,venereal diseases
220,ulcers,ulcers
220,dropsy,dropsy
220,stomach ailments,stomach ailments
220,purulent  ulcers,purulent ulcers
220,fevers,fevers
220,rheumatism,rheumatism
220,diarrhoea,diarrhoea
220,dysentery,dysentery
221,Dysentery,dysentery
221,diarrhoea,diarrhoea
221,vomiting,vomiting
221,muscular  rheumatism,muscular rheumatism
221,gonorrhorea,gonorrhorea
221,menstruation bilious,menstruation bilious
221,dyspepsia,dyspepsia
221,bowels,bowels
221,burning .,burning
222,fevers,fevers
222,scalding urine,scalding urine
222,joint pain,joint pain
222,inflammations of the lungs,inflammations of the lungs
222,bowels,bowels
222,urinary calculi,urinary calculi
222,jaundice.,jaundice
223,Toothache,toothache
223,paralysis  of  the  tongue,paralysis of the tongue
223,dysentery,dysentery
223,rheumatism . scabies .,rheumatism . scabies
224,insanity,insanity
224,tubercular glands,tubercular glands
224,indigestion,indigestion
224,bronchitis,bronchitis
224,piles,piles
224,strangury,strangury
224,hemicrania,hemicrania
224,jaundice,jaundice
224,scalding  of  urine  and  gleet,scalding of urine and gleet
224,cough,cough
224,chest  pains,chest pains
224,bowel .,bowel
225,Sprains,sprains
225,swellings,swellings
225,haemorrhage,haemorrhage
225,cough,cough
225,astringent and antiseptic.,astringent and antiseptic
226,Soporific,soporific
226,diuretic,diuretic
226,fever,fever
226,jaundice,jaundice
226,cough,cough
226,bronchitis,bronchitis
226,asthma,asthma
226,stomach pain and pertussis.,stomach pain and pertussis
227,Diuretic,diuretic
227,expectorant,expectorant
227,cough,cough
227,asthma,asthma
227,pain,pain
227,fever,fever
227,sore throat,sore throat
227,rheumatism,rheumatism
227,carminativel,carminativel
227,gonorrhea,gonorrhea
227,cardioactive and antipyretic acivities.,cardioactive and antipyretic acivities
228,Digestive,digestive
228,carminative,carminative
228,bowels,bowels
228,cardiac tonic,cardiac tonic
228,expectorant,expectorant
228,aphrodisiac,aphrodisiac
228,asthma,asthma
228,dry cough,dry cough
228,catarrh,catarrh
228,colic,colic
228,flatulence,flatulence
228,worms,worms
228,dysuria,dysuria
228,toothache,toothache
228,fever,fever
228,nasal ulcers,nasal ulcers
228,stop vomiting,stop vomiting
228,thelmintic,thelmintic
228,laxative,laxative
228,digestive,digestive
228,pruritus,pruritus
228,leucoderma,leucoderma
228,sores,sores
228,intoxicati,intoxicati
229,Sedative,sedative
229,diuretic,diuretic
229,digestive,digestive
229,cough,cough
229,haemostatic,haemostatic
229,spleen,spleen
229,thread-worms,thread-worms
229,poulticing cracks,poulticing cracks
229,antibacterial and antifungal.,antibacterial and antifungal
230,Diuretic,diuretic
230,expectorant,expectorant
230,cough,cough
230,asthma,asthma
230,pain,pain
230,fever,fever
230,sore throat,sore throat
230,rheumatism,rheumatism
230,carminativel,carminativel
230,gonorrhea,gonorrhea
230,cardioactive and antipyretic acivities.,cardioactive and antipyretic acivities
231,Alterative,alterative
231,sedative,sedative
231,diaphoretic,diaphoretic
231,diuretic,diuretic
231,hydragogue,hydragogue
231,chronic enlargement,chronic enlargement
231,piles,piles
231,dysentery,dysentery
231,skin diseases,skin diseases
231,remedy,remedy
231,tonic,tonic
231,diuretic,diuretic
231,aphrodisiac,aphrodisiac
231,anasarca,anasarca
231,heart diseases,heart diseases
231,hiccup,hiccup
231,asthma,asthma
231,fever,fever
231,diarrhea,diarrhea
231,bronchitis,bronchitis
231,ringworm,ringworm
231,giddiness,giddiness
231,gonorrhoea,gonorrhoea
231,thi,thi
232,Laxative,laxative
232,analgesic,analgesic
232,maturant,maturant
232,cardiotonic,cardiotonic
232,aphrodisiac,aphrodisiac
232,appetite,appetite
232,inflammation,inflammation
232,stimulant,stimulant
232,fever.,fever
233,Inflammation,inflammation
233,burning sensation,burning sensation
233,pain,pain
233,coughs and skin sores.,coughs and skin sores
234,Venereal diseases,venereal diseases
234,skin troubles,skin troubles
234,sores,sores
234,swelling,swelling
234,abscesses,abscesses
234,rheumatism,rheumatism
234,pains,pains
234,bloodless dysentery,bloodless dysentery
234,weakness,weakness
234,turmeric,turmeric
234,ulcer and gonorrhea.,ulcer and gonorrhea
235,Venereal diseases,venereal diseases
235,rheumatism,rheumatism
235,blood dysentery,blood dysentery
235,urinary complaints.,urinary complaints
236,Sores,sores
236,venereal complaints and syphilis.,venereal complaints and syphilis
237,Emollient,emollient
237,tuberculosis,tuberculosis
237,rheumatism,rheumatism
237,demulcents,demulcents
237,emollient,emollient
237,febrifuge,febrifuge
237,diuretic,diuretic
237,piles,piles
237,calculous troubles,calculous troubles
237,rheumatism,rheumatism
237,leucorrhoea and dysentery.,leucorrhoea and dysentery
238,Cooling,cooling
238,astringent,astringent
238,stomachic,stomachic
238,tonic,tonic
238,cardiac tonic,cardiac tonic
238,febrifuge,febrifuge
238,demulcent,demulcent
238,diuretic,diuretic
238,nervous and urinary diseases,nervous and urinary diseases
238,bleeding plies,bleeding plies
238,strangury,strangury
238,haematuria,haematuria
238,gonorrhoea,gonorrhoea
238,cystitis,cystitis
238,leucorrhoea,leucorrhoea
238,chronic dysentery,chronic dysentery
238,asthma,asthma
238,fever,fever
238,micturition,micturition
238,discharges,discharges
238,absc,absc
239,Cooling,cooling
239,astringent,astringent
239,tonic,tonic
239,fever,fever
239,urinary complaints,urinary complaints
239,arthritis,arthritis
239,leucorrhoea,leucorrhoea
239,gonorrhea,gonorrhea
239,micturition And diarrhoea.,micturition and diarrhoea
240,Astringent,astringent
240,tonic,tonic
240,stomachic,stomachic
240,diaphoretic,diaphoretic
240,antipyretic,antipyretic
240,cooling,cooling
240,nervous,nervous
240,urinary diseases,urinary diseases
240,disorders of blood,disorders of blood
240,bile,bile
240,diuretic,diuretic
240,rheumatic,rheumatic
240,gonorrhoea,gonorrhoea
240,dysentery,dysentery
240,fever,fever
240,chronic bowel complaints Warmed,chronic bowel complaints warmed
240,abscess,abscess
240,dysentery and diarrhea.,dysentery and diarrhea
241,Astringent,astringent
241,aphrodisiac,aphrodisiac
241,stimulant,stimulant
241,aphrodisiac,aphrodisiac
241,dysentery,dysentery
241,fumigations,fumigations
241,plasters,plasters
241,gonorrhea,gonorrhea
241,lumbago,lumbago
241,pains,pains
241,skin diseases,skin diseases
241,scabies,scabies
241,wounds and diarrhoea.,wounds and diarrhoea
242,Acrid,acrid
242,fattening,fattening
242,diuretic,diuretic
242,astringent,astringent
242,aphrodisiac,aphrodisiac
242,gravid uterus,gravid uterus
242,burning sensations,burning sensations
242,healing fractures,healing fractures
242,pains and  rheumatism,pains and rheumatism
243,Carminative,carminative
243,roundworms,roundworms
243,stimulant,stimulant
243,carminative and stomachic.,carminative and stomachic
244,Stimulant,stimulant
244,emmenagoguem,emmenagoguem
244,astringent,astringent
244,diarrhoea and,diarrhoea and
244,itches,itches
244,skin diseases,skin diseases
244,anthelmintic,anthelmintic
244,diabetes,diabetes
244,colic,colic
244,and catarrh.,and catarrh
245,Astringent,astringent
245,tonic,tonic
245,diarrhoea,diarrhoea
245,dysentery,dysentery
245,paludism,paludism
245,antipyretic,antipyretic
245,anthelmintic,anthelmintic
245,alexiteric,alexiteric
245,cures itching,cures itching
245,leprosy,leprosy
245,night blindness,night blindness
245,gout,gout
245,biliousness,biliousness
245,cooling,cooling
245,emollient,emollient
245,laxative,laxative
245,appetite,appetite
245,ozoena,ozoena
245,bronchitis,bronchitis
245,gout,gout
245,biliousness,biliousness
245,nasal catarrh,nasal catarrh
245,headac,headac
246,Alexiteric,alexiteric
246,anthelmintic,anthelmintic
246,diuretic,diuretic
246,galactagogue,galactagogue
246,eye diseases,eye diseases
246,ringworm and skin diseases.,ringworm and skin diseases
247,Tonic,tonic
247,laxative,laxative
247,emollient,emollient
247,demulcent,demulcent
247,diuretic,diuretic
247,nourishing,nourishing
247,galactagogue,galactagogue
247,emmenagogue,emmenagogue
247,aphrodisiac,aphrodisiac
247,piles,piles
247,enorrhoea,enorrhoea
247,dysmenorrhoea,dysmenorrhoea
247,demulcent,demulcent
247,respiratory disease,respiratory disease
247,diuretic in,diuretic in
247,emollient and laxative.,emollient and laxative
248,Carminative,carminative
248,tonic,tonic
248,aphrodisiac,aphrodisiac
248,stimulant,stimulant
248,piles,piles
248,escharotics,escharotics
248,antiseptic,antiseptic
248,anthelmintic,anthelmintic
248,rheumatism,rheumatism
248,sprains,sprains
248,leucoderma,leucoderma
248,leprosy,leprosy
248,psoriasis,psoriasis
248,asthma,asthma
248,gonorrhoea,gonorrhoea
248,scrofulous,scrofulous
248,diarrhoea and menstruation.,diarrhoea and menstruation
249,Diabetes,diabetes
249,fever,fever
249,ague,ague
249,cough,cough
249,bronchitis,bronchitis
249,toothache,toothache
249,diuretic,diuretic
249,gravel,gravel
249,kidney complaints. diarrhoea,kidney complaints. diarrhoea
249,dysentery,dysentery
249,glycosuria,glycosuria
249,hyperglycaemia,hyperglycaemia
249,anaemia,anaemia
249,albuminuria,albuminuria
249,ketonuria,ketonuria
249,retinitis,retinitis
249,diphtheria,diphtheria
249,ulcer,ulcer
249,jaundice and  menorrhagia.,jaundice and menorrhagia
250,Stimulant,stimulant
250,diaphoretic,diaphoretic
250,aphrodisiac,aphrodisiac
250,carminative,carminative
250,anthelmintic,anthelmintic
250,antidiarrhoel,antidiarrhoel
250,asthma,asthma
250,hypoglycaemic,hypoglycaemic
250,antiprotozoal and rheumatism.,antiprotozoal and rheumatism
251,Purgative,purgative
252,Astringent,astringent
252,laxative,laxative
252,tonic,tonic
252,alexiteric,alexiteric
252,cooling,cooling
252,diuretic,diuretic
252,diarrhoea,diarrhoea
252,biliousness,biliousness
252,fevers and gonorrhea.,fevers and gonorrhea
253,Astringent,astringent
253,cures leprosy,cures leprosy
253,skin diseases,skin diseases
253,inflammations,inflammations
253,ulcers,ulcers
253,pains,pains
253,astringent,astringent
253,tonic,tonic
253,appetite,appetite
253,biliousness,biliousness
253,tonic,tonic
253,stomachic,stomachic
253,anthelmintic,anthelmintic
253,purgative,purgative
253,cholera,cholera
253,skin diseases,skin diseases
253,ulcers,ulcers
253,scalp,scalp
253,rheumatism and malaria.,rheumatism and malaria
254,Diarrhoea and dysentery.,diarrhoea and dysentery
256,Boils and blisters.,boils and blisters
257,Astringent,astringent
257,uterine sedative,uterine sedative
257,menorrhagia,menorrhagia
257,uterus,uterus
257,haemorrhoids,haemorrhoids
257,dysentery,dysentery
257,biliousness,biliousness
257,dyspepsia,dyspepsia
257,dysentery,dysentery
257,colic,colic
257,piles,piles
257,ulcers,ulcers
257,pimples,pimples
257,stomachache,stomachache
257,tonic and diarrhoea.,tonic and diarrhoea
258,Expectorant,expectorant
258,emetic,emetic
258,excessive salivation,excessive salivation
258,epilepsy,epilepsy
258,chlorosis,chlorosis
258,insecticidal,insecticidal
258,dental caries,dental caries
258,fever,fever
258,cutaneous diseases.,cutaneous diseases
259,Coughs,coughs
259,viscid phlegm,viscid phlegm
259,purgative,purgative
259,tonic,tonic
259,expectorant,expectorant
259,febrifuge,febrifuge
259,cardiacal,cardiacal
259,gonorrhoea,gonorrhoea
259,heart diseases,heart diseases
259,itch,itch
259,leprosy,leprosy
259,fever,fever
259,rheumatism,rheumatism
259,glandular enlargements and pain.,glandular enlargements and pain
260,Depurative,depurative
260,diuretic and purgative.,diuretic and purgative
261,Diuretic,diuretic
261,astringent,astringent
261,anthelmintic,anthelmintic
261,toothache,toothache
261,gonorrhoea,gonorrhoea
261,menorrhagia,menorrhagia
261,diarrhoea,diarrhoea
261,haemorrhoides,haemorrhoides
261,leucorrhoea and weakness.,leucorrhoea and weakness
262,Febrifuge.,febrifuge
263,Skin diseases,skin diseases
263,boils,boils
263,abscess and  ulcers.,abscess and ulcers
264,Refrigerant,refrigerant
264,laxative,laxative
264,bile,bile
264,skin disease,skin disease
264,phthisis,phthisis
264,calculi,calculi
264,blood disease,blood disease
264,biliousness,biliousness
264,haemorrhagic diathesis,haemorrhagic diathesis
264,galactagogue and diuretic.,galactagogue and diuretic
265,Diuretic,diuretic
265,tonic,tonic
265,demulcent,demulcent
265,cooling,cooling
265,aperients,aperients
265,laxative,laxative
265,jaundice,jaundice
265,fatigue,fatigue
265,thirst and intestinal troubles,thirst and intestinal troubles
265,ulcers,ulcers
265,demulcent,demulcent
265,stimulant,stimulant
265,diuretic and jaundice.,diuretic and jaundice
266,Refrigerant,refrigerant
266,aphrodisiac.  dysentery,aphrodisiac. dysentery
266,strangury,strangury
266,boils,boils
266,eye diseases.,eye diseases
266,demulcent and diuretic.,demulcent and diuretic
267,Pain and fever,pain and fever
268,Tonic,tonic
268,analgesic,analgesic
268,laxative,laxative
268,stomachic,stomachic
268,tumours,tumours
268,constipation,constipation
268,hiccup,hiccup
268,flatulence,flatulence
268,asthma,asthma
268,bronchitis,bronchitis
268,piles,piles
268,astringent,astringent
268,cooling,cooling
268,aperient,aperient
268,diuretic,diuretic
268,toothache,toothache
268,jaundice,jaundice
268,hepatic,hepatic
268,constipation,constipation
268,indigestion and dysentery.,indigestion and dysentery
269,Refrigerant,refrigerant
269,burns,burns
269,aphrodisiac,aphrodisiac
269,pain,pain
269,anti-inflammatory and analgesic activity .,anti-inflammatory and analgesic activity
270,Gonorrhoea,gonorrhoea
270,syphilis,syphilis
270,renal affections and abortion,renal affections and abortion
271,Skin inflammation,skin inflammation
271,menstrual bleeding,menstrual bleeding
271,sores and healing.,sores and healing
272,:  Purgative,purgative
272,rheumatic pains,rheumatic pains
272,joint pain,joint pain
272,paralysis,paralysis
272,constipation,constipation
272,galactagogue,galactagogue
272,headache,headache
272,inflammations,inflammations
272,jaundice,jaundice
272,dysentery and cancer.,dysentery and cancer
273,coughs,coughs
274,Astringent,astringent
274,haemorrhage,haemorrhage
274,haematuria,haematuria
274,angina and diabetes.,angina and diabetes
275,Aphrodisiac,aphrodisiac
275,eczema,eczema
275,ringworm,ringworm
275,cancer,cancer
275,prickly heat,prickly heat
275,dandruff,dandruff
275,inflammatory skin diseases and anti-hypertensive.,inflammatory skin diseases and anti-hypertensive
276,Paralysis.,paralysis
277,similar disease of Rauvolfia serpentina,similar disease of rauvolfia serpentina
278,Sedative,sedative
278,tonic,tonic
278,febrifuge,febrifuge
278,high blood pressure,high blood pressure
278,insomnia,insomnia
278,madness,madness
278,hypochondria,hypochondria
278,anxiety,anxiety
278,excitement,excitement
278,schizophrenia,schizophrenia
278,insanity,insanity
278,epilepsy,epilepsy
278,diarrhoea,diarrhoea
278,dysentery,dysentery
278,cholera,cholera
278,colic,colic
278,fever.,fever
278,fever and piles.,fever and piles
279,Tonic,tonic
279,stomachic,stomachic
279,sciatica,sciatica
279,rheumatism,rheumatism
279,dysuria,dysuria
279,asthma,asthma
279,pneumonia and neuralgic pains,pneumonia and neuralgic pains
280,Fever.,fever
281,Fever and paludism.,fever and paludism
282,Anthelmintic,anthelmintic
282,flatulence,flatulence
282,boils,boils
282,ulcers and worms.,ulcers and worms
283,Tonic,tonic
283,diarrhoea,diarrhoea
283,chronic dysentery,chronic dysentery
283,purgative,purgative
283,anthelmintic,anthelmintic
283,stomachache,stomachache
283,dyspepsia,dyspepsia
283,cardiac tonic,cardiac tonic
283,piles,piles
283,astringent and tapeworm.,astringent and tapeworm
284,Cooling,cooling
284,aphrodisiac,aphrodisiac
284,tonic,tonic
284,galactagogue,galactagogue
284,diuretic,diuretic
284,alterative,alterative
284,leprosy and fevers.,leprosy and fevers
285,Narcotic.,narcotic
286,Tonic,tonic
286,laxative,laxative
286,anthelmintic,anthelmintic
286,leucorrhoea,leucorrhoea
286,gastralgia,gastralgia
286,blood troubles,blood troubles
286,ulcers,ulcers
286,tumours,tumours
286,leprosy andf inflammations.,leprosy andf inflammations
287,Stringent,stringent
287,diarrhea,diarrhea
287,dysentery,dysentery
287,bronchitis,bronchitis
287,eye sores,eye sores
287,tonic,tonic
287,cooling,cooling
287,laxative,laxative
287,colic,colic
287,astringent,astringent
287,wounds,wounds
287,ulcers,ulcers
287,toothache and cholera.,toothache and cholera
288,Rheumatism,rheumatism
288,neuralgia,neuralgia
288,fevers,fevers
288,colic,colic
288,flatulence,flatulence
288,gonorrhoea,gonorrhoea
288,convulsion,convulsion
288,laxative,laxative
288,stomachic,stomachic
288,piles,piles
288,constipation,constipation
288,bronchitis,bronchitis
288,urticaria,urticaria
288,carminative,carminative
288,alterative,alterative
288,dyspepsia and worms.,dyspepsia and worms
289,Diuretic,diuretic
289,dropsy,dropsy
289,urinary problems,urinary problems
289,jaundice and tonic.,jaundice and tonic
290,Anthelmintic,anthelmintic
290,vulnerary,vulnerary
290,ulcers,ulcers
290,syphilis,syphilis
290,gonorrhea,gonorrhea
290,galactagogue,galactagogue
290,sores,sores
290,boils,boils
290,stomachache.,stomachache
291,Abscess,abscess
291,convulsions,convulsions
291,epilepsy,epilepsy
291,asthma,asthma
291,hysteria.,hysteria
292,Refrigerant,refrigerant
292,alterative,alterative
292,vulnerary,vulnerary
292,antiscorbutic,antiscorbutic
292,aperient,aperient
292,diuretic,diuretic
292,scurvy,scurvy
292,liver diseases,liver diseases
292,spleen,spleen
292,kidney,kidney
292,bladder,bladder
292,cardio-vascular diseases,cardio-vascular diseases
292,dysuria,dysuria
292,hematuria,hematuria
292,gonorrhoea,gonorrhoea
292,dysentery,dysentery
292,sore nipples,sore nipples
292,ulcers,ulcers
292,gastric,gastric
292,piles,piles
292,erysipelas a,erysipelas a
292,antihemorrhagi,antihemorrhagi
293,Pneumonia and bowel.,pneumonia and bowel
294,Asthma,asthma
294,chronic bronchitis,chronic bronchitis
294,catarrhal affections,catarrhal affections
294,fever and dizziness.,fever and dizziness
295,Fever,fever
295,antifungal and antibacterial.,antifungal and antibacterial
296,Diuretic,diuretic
296,emetic,emetic
296,gonorrhea,gonorrhea
296,red pimples and buboes.,red pimples and buboes
297,Tonic,tonic
297,colic,colic
297,fever and haemorrhoids.,fever and haemorrhoids
298,Colic,colic
298,fever and uterine haemorrhage.,fever and uterine haemorrhage
299,Purgative,purgative
299,stimulant,stimulant
299,emmenagogue,emmenagogue
299,febrifuge,febrifuge
299,gonorrhoea,gonorrhoea
