plant_index,site_id,detail_url,scientific_name_master,scientific_name_page,name_match,family_page,synonym_page,bangla_name,english_name,disease_raw,uses_raw,chemical_constituents_raw,habit,distribution_raw,description_raw,source_cache_file,http_status,scrape_timestamp,quality_flags
1,4,https://mpbd.cu.ac.bd/details.php?id=4,Piper betle L.,Piper betle L.,True,Piperaceae,Chavica betle  (L.) Miq. Betela mastica  Raf. Chavica auriculata  Miq. Piperi betlum  (L.)St.-Lag.,"Pan,Tambuli,Pandongma(Barma),Kowaingtak(Chak),Mra(Khumi),Rum(Murong).",Betel vine,"Stomach pain, carminative, stimulantion, antiseptic, astringent, boils, cold, fever, lice infestation,","The plant is used in Stomach pain, carminative, stimulant, antiseptic, astringent, boils, cold, fever, lice infestation, rabies.","Plant contains aterpinene, ?-cymene, carvacrol, chavicol and its derivatives, allyl catechol, eugenol, estragol, oxalic acid, malic acid and amino acids. Leaves contain good amount of vitamins particulary nicotinic acid, ascorbic acid and carotin. They al",Climber,,"Climbers dioecious. Stems rooted at nodes, thick, slightly woody. Petiole, very finely powdery pubescent.leaf blade ovate to ovate-oblong, apex acuminate; veins 7, base, usually opposite, others reticulate veins conspicuous. Spikes leaf-opposed. Male spikes nearly as long as leaf blades at anthesis; peduncle nearly as long as petioles; rachis pubescent; bracts orbicular or suborbicular, rarely obovate,  Stamens 2; filaments thick,; anthers reniform. Female spikes longer in fruit; rachis fleshy, densely pubescent.Ovary partly immersed in and connate to rachis, apex tomentose; stigmas usually 4 or 5, lanceolate, tomentose. Drupes fused to form terete, fleshy, reddish, compound fruit,. Fl. May-Jul.",b6cfbe69656deadec95715d2.html,200,2026-09-24T18:36:39.212066+00:00,encoding_loss_suspected
2,5,https://mpbd.cu.ac.bd/details.php?id=5,Piper cubeba Vahl,Piper cubeba Vahl,True,Piperaceae,,Copchini,,"Anal fissure, constipation, diarrhoea, dysmenorrhoea, fever, flatulence, heat stroke, hepatomegaly,","The plant is used in Anal fissure, constipation, diarrhoea, dysmenorrhoea, fever, flatulence, heat stroke, hepatomegaly, hiccup, hook worm infestation, hyper acidity, ill health, impotence, indigestion, jaundice, leucorrhoea, lumbago, malaria, painful mic","Thirteen compounds identified in oil from fresh bark; citral was major constituent. Essential oil from fruits contained cubebin, limonene, sabinene, methyltheptenone, citronellal and citrals.",,,,9d14eedbf35f45db6e367fdf.html,200,2026-09-24T18:38:05.569765+00:00,
3,6,https://mpbd.cu.ac.bd/details.php?id=6,Berberis aristata DC.,Berberis aristata DC.,True,Berberidaceae,BerberiscoccineaK.Koch   BerberiselegansK.Koch   BerberisgracilisLindl.   BerberisumbellataLindl.,Deshi Berbery,,"Constipation, carminative, ear diseases.","The plant is used in Constipation, carminative, ear diseases.","Root bark rich in alkaloid content, berberine principal alkaloid.",Shrub,,"It is characterized by an erect spiny shrub, ranging between 2 and 3 meters in height. It is a woody plant, with bark that appears yellow to brown from the outside and deep yellow from the inside. The bark is covered with three-branched thorns, which are modified leaves, and can be removed by hand in longitudinal strips. The leaves are arranged in tufts of 5-8 and are approximately 4.9 centimeters long and 1.8 centimeters broad. The leaves are deep green on the dorsal surface and light green on the ventral surface. The leaves are simple with pinnate venation. The leaves are leathery in texture and are toothed, with several to many small indentations along the margin of the leaf.",329395e2e59e30d3b1c02c9b.html,200,2026-09-24T18:38:06.669344+00:00,
4,7,https://mpbd.cu.ac.bd/details.php?id=7,Papaver somniferum L.,Papaver somniferum L.,True,Papaveraceae,,"Afing,Afim,Posto,Posto dana.","Opium poppy,Mawseed.","Asthma, cirorhosis, duodenal ulcer, eclampsia, gastric tumor, gynaecological disease, piles, stomach","The plant is used in Asthma, cirorhosis, duodenal ulcer, eclampsia, gastric tumor, gynaecological disease, piles, stomach disorder.","Sap contains oxalic acid and opium contains some 25 alkaloids, the chief being morphine, codeine, thebaine, narcotine, riarceine, rioscapine and papaverine. Poppy seed oil is a drying oil. It dries much slower and more uniformly than linseed oil. Meconic",,This  species found throughout  Bangladesh.,"Stems simple or branching. Leaves to 30 cm; blade sometimes sparsely setose abaxially on midrib; margins usually shallowly to deeply toothed. Inflorescences: peduncle often sparsely setose. Flowers: petals white, pink, red, or purple, often with dark or pale basal spot ,anthers pale yellow; stigmas 5-18, disc ± flat. Capsules stipitate, subglobose, not ribbed, glaucous.",fc99991778c132f767b8bc6d.html,200,2026-09-24T18:38:08.081308+00:00,
5,8,https://mpbd.cu.ac.bd/details.php?id=8,Artocarpus heterophyllus Lam.,Artocarpus heterophyllus Lam.,True,Moraceae,Artocarpus brasiliensis  Ortega Artocarpus maximus  Blanco Artocarpus philippensis  Lam.,": Kanthal, Ludoo(Bawm),Hattol(Chakma),Panaingci(Chak),Teprong(Garo), Thibrong(Garo),Latmoui(Murong),","Jaca tree,Jack-Fruit,Jack wood.","Skin diseases, diarrhoea, lactopenia, polymenorrhoea, rash, stomachache, toothache.","The plant is used in Skin diseases, diarrhoea, lactopenia, polymenorrhoea, rash, stomachache, toothache.","Fruit is a rich source of carbohydrates and essential amino acids. Latex from fruits contains cycloartenone, cycloartenol, ?-sitosterol, tyrosine, valine. Cycloarteny acetate, cycloartenol and cycloartenone from bark. ?-sitosterol, betuhnic and ursolic ac",Tree,This  species found throughout  Bangladesh.,"Evergreen trees , bark thick, blackish-grey, mottled with green and black; exudation milky white latex; trunk with warty tubercles; leaves simple, alternate; stipules long, lateral, ovate-lanceolate, sheathing, glabrous, cauducous; petiole stout, grooved above, glabrous; lamina  obovate, obovate-oblong, or elliptic-ovate, base acute, round or cuneate, apex acute or obtuse, margin entire; flowers unisexual, minute, yellowish-green, in spikes enclosed by spathe-like bracts, male from young branches, catkin narrow-cylindric; perianth 2-lobed, puberulous; stamen 1; filament somewhat flattened, stout; anthers ovate-oblong; female catkins from the trunk and mature branches; ovary, superior, globose-obovoid; style exserted; stigma spathulate. fruit a sorosis oblong, tuberculate, tubercles conical yellowish-green, fruiting perianth yellow to light orange, fleshy; seeds elliptic-oblong, smooth, glossy.",1ac3f0231c23ca8e1b3f0c2d.html,200,2026-09-24T18:38:09.129091+00:00,encoding_loss_suspected
6,9,https://mpbd.cu.ac.bd/details.php?id=9,Ficus racemosa L.,Ficus racemosa L.,True,Moraceae,Ficus lanceolata  Buch-Ham. exRoxb. Ficus acidula  King Ficus chittagonga  Miq. Ficus lucescens  Blume,"Jaga Dumur,Gulang Dumur,jog Dumur TRIBAL NAME: Zoigga Dumur(Chakma),Koudra-               phang(Garo","Cluster Fig,Indian Fig,Red wood Fig.","Diarrhoea, dysentery, menorrhagia, bronchitis, dry cough, sexual weakness, urinary trouble, diabetes","The plant is used in Diarrhoea, dysentery, menorrhagia, bronchitis, dry cough, sexual weakness, urinary trouble, diabetes, cirorhosis, piles, asthma, astringent, stomachic, carminative, haemoptysis, diseases of kidney and spleen, bowels, tonic, styptic, a","Bark, ceryl behenate, lupeol, ?-amyrin and 3 unidentified compounds. Fruit, lupeol-oac, ?-sitosterol, sterol and glauanol. Leaves, gluanol-oac,?-amyrin and ?-sitosterol. A glycoside-rich fraction from leaves reported to have hypotensive and cardiac-depres",Tree,This  species found throughout  Bangladesh.,"A small to large, evergreen or occasionally deciduous tree. Trunk with spreading brand with or without aerial roots, bark whitish to pinkish-brawn, smooth, young twigs with fine white pubescence. Leaves grooved minutely hairy, brownish-scurfy petiole; lamina ovate-lanceolate to ± elliptic-lanceolate, ± oblique base, margin entire to ± used obtuse or subacute to occasionally ± acuminate at apex. Hypanthodia on long peduncles. Male flowers: sessile, ostiolar in 23-whorls; red; stamens usually 2, pistillode present. Female flowers: sessile or subsessile. sepals as in male; ovary substipitate, with lateral, glabrous style, stigma simple. Gall flowers pedicellate, dispersed among female. Figs depressed subglobose or pyriform red, usually streaked. Seeds lenticular.",4e1f1667f6f92c37b369d56f.html,200,2026-09-24T18:38:10.320150+00:00,encoding_loss_suspected
7,10,https://mpbd.cu.ac.bd/details.php?id=10,Morus indica L.,Morus indica L.,True,Moraceae,,Deshi tut,,"Inflammation and thickening of the vocal cords, cooling, laxative, allay thirst, fevers, burning sensations, vermifuge, purgative, anthelmintic, astringent.","The plant is used in Inflammation and thickening of the vocal cords, cooling, laxative, allay thirst, fevers, burning sensations, vermifuge, purgative, anthelmintic, astringent.",Plant contains mulberin and muiberrochromene,Tree,This  species found throughout  Bangladesh.,"The trees are generally deciduous in temperate regions, but trees grown in tropical regions can be evergreen.On young, vigorous shoots, the leaves may be long, and deeply and intricately lobed, with the lobes rounded. On older trees, the leaves are generally long, unlobed, cordate at the base and rounded to acuminate at the tip, and serrated on the margins.  The flowers are single-sex catkins; male catkins are 2–3.5 cm long, and female catkins 1–2 cm long. Male and female flowers are usually on separate trees although they may occur on the same tree. The fruit is 1–2.5 cm long; in the species in the wild it is deep purple, but in many cultivated plants it varies from white to pink; it is sweet but bland, The seeds are widely dispersed by birds, which eat the fruit and excrete the seeds.",bcf793d5fd2ebb57af6c2aa5.html,200,2026-09-24T18:38:11.798219+00:00,
8,11,https://mpbd.cu.ac.bd/details.php?id=11,Juglans regia L.,Juglans regia L.,True,Juglandaceae,Juglans duclouxiana  Dode Juglans fallax  Dode Juglans orientis  Dode Juglans sinensis  (C.DC.) Dode,Akrut,,"Insomnia, sexual weakness.","The plant is used in Insomnia, sexual weakness.","Cysteine, tryptophan,thiamin, ribiflavin, nicotinic acid, pantothenic acid,folic acid, vitamin B6, biotin, vitamin A, ascorbic acid are found in the leaves and fruits. Kernels yield 60-70% of a drying oil known as Walnut Oil.Fresh ‘eaves and unripe fruit",Tree,,"The plant is Deciduous. Young shoots tomentose. Leaves impa¬ripinnate, softly tomentose, opposite to sub-opposite, ovate to elliptic-ovate, acute to acuminate, glab¬rescent to pubescent on nerves beneath; Male catkins , lateral; bracteoles ovate to obovate, pubescent; tepals 4, ovate; stamens 10-20, subsessile; anthers irregularly apiculate, basifixed, dehiscing longitudinally. Female flowers 1-3, terminal on short spikes; involucral tube of fused bract and bracteoles, tomentose, glandular, obscurely 4-toothed and irregular at the margin; tepals 4, linear,alternating with the teeth; margin sparsely pubescent; ovary ovoid, inferior; stigmas 2, recurved, plumose to fimbriate, exserted. Drupe ovoid to subglobose; epicarp green, glandular; endocarp 2-valved; seed 2 to 4-lobed at the base.",8ef3b8ba651281e5a87cd599.html,200,2026-09-24T18:38:13.050235+00:00,
9,12,https://mpbd.cu.ac.bd/details.php?id=12,Boerhavia diffusa L.,Boerhavia diffusa L.,True,Nyctaginaceae,Axiacochin chinensis  Lour. Boerhavia adscendens  Willd. Boerhavia caespitosa  Ridl. Boerhavia friesi,"Punarnava,Gandhapurna,Swetpurna,Proynoa(Marma),Perunoa(Murong),Krow-naa-row(Rakhain).","Spreedling hogweed,Pigweed.","Diuretic, anasarca and dropsy","The plant is used in Diuretic, in anasarca and dropsy.","Hentriacontane, ?-sitosterol, ursolic acid, punarnavine-1 & -2, myricyl alcohol, myristic acid, oxalic acid and alkaloids. Polysaccharide consisting of glucose, xylose, glucuronic acid, gaictose, L-arabinose and Lrhamnose; and a glycoprotein. An injection",Herb,This  species found throughout  Bangladesh.,"Herbs perennial; stems glabrous or sparsely pubescent. Roots thick, fleshy; leaf blade ovate, both surfaces sparsely pubescent, abaxially gray-yellow, wrinkled when dry, base rounded or cuneate, margin undulate, with stout, muticellular hairs, apex obtuse or acute. Inflorescences terminal, capitate-cymose panicles; peduncle slender, sparsely pubescent. Pedicel short to almost absent. Bracts small, lanceolate, pubescent. Perianth limb bright purple or purple-red. Stamens 1-3(-5), slightly exserted or included. Anthocarp clavate,  5-ribbed, with viscid glands and sparse pubescence, apex rounded. Fl. and fr. spring-autumn.",e45e1932a833c0bc1add84ff.html,200,2026-09-24T18:38:14.509855+00:00,encoding_loss_suspected
10,13,https://mpbd.cu.ac.bd/details.php?id=13,Boerhavia repens L.,Boerhavia repens L.,True,Nyctaginaceae.,Boerhavia angustifolia  Span. Boerhavia ascendens  Schumach. Boerhavia maroccana  Ball Boerhavia pol,Payanava.,,"Diuretic,  anasarca and dropsy","The plant is  used in Diuretic, in anasarca and dropsy.","Hentriacontane, ?-sitosterol, ursolic acid, punarnavine-1 & -2, myricyl alcohol, myristic acid, oxalic acid and alkaloids. Polysaccharide consisting of glucose, xylose, glucuronic acid, gaictose, L-arabinose and Lrhamnose; and a glycoprotein. An injection",Herb,This  species found throughout  Bangladesh.,"Herbs ephemeral to perennial. Stems prostrate, radiating from taproot, most parts eglandular-puberulent. Petiole to 1 cm; leaf blade, abaxially conspicuously pale, base rounded to cuneate, margin entire, apex rounded to subacute. Inflorescences mostly axillary, 2-5-flowered umbels, sometimes gathered into cymes. Pedicel to 1 mm. Perianth limb white, pink, or pale purple. Stamens (1 or)2(or 3). Anthocarp clavate, 5-ribbed, sparsely puberulent, sometimes with ± sessile glands.",c76a9eec352fd2d9b2fa4021.html,200,2026-09-24T18:38:15.642321+00:00,encoding_loss_suspected
11,14,https://mpbd.cu.ac.bd/details.php?id=14,Mirabilis jalapa L.,Mirabilis jalapa L.,True,Nyctaginaceae,Nyctago jalapae  (L.) DC. Mirabilislin dheimeri  (Standl.) Shinners,"Sondhamaloti,Sondhamoni,Krisnokoli,Khranaa-payn(Chak),Arta khuang pa(Lusai),Rangaban(Munda),Yeak kup","Four o’clock plant,Marvel of peru.","Urinary problems, aphrodisiac, purgative, maturant, inflammations, boils, phlegmons, whitlow, soothing, urticaria.","The plant is used in Urinary problems, aphrodisiac, purgative, maturant, inflammations, boils, phlegmons, whitlow, soothing, urticaria.","Alkaloid trigonelline. Tricosan- 12-one, n-hexacosanol, ?-sitosterol and tetracosanoic acid isolated, while tartaric, citric acids, valine tryptophan, leucine, alanine and glycine detected in leaves. Indicaxanthin and vulgaxanthin I, Meraxanthins I, II, I",Herb,This  species found throughout  Bangladesh.,"Herbs up to 1.5 m tall. Roots tuberous. Stem dichotomous, glabrous to minutely pubescent, often swollen at the nodes, reddish, glaucescent and flaccid. Leaves ovate, acuminate, puberulous, base slightly oblique. Involucral bracts ovate, united at the base, sepaloid, puberulous and nervose. Flowers subsessile, in clusters of 4-5; pedicel c. 2 mm long. Perianth tube puberulous outside, limb plicately 5-lobed; lobes emarginate. Stamens 5, exserted; filaments, reddish, lower half adnate to the tube, basally connate and surrounding the ovary. Ovary ovoid; ovule solitary, basal, surrounded by a few linear scales. Style reddish; stigma capitate. Anthocarp ovoid, 5-ribbed, black,tuberculate. Nut subglobose.",61da9bef4a49ab389e88353f.html,200,2026-09-24T18:38:16.800865+00:00,encoding_loss_suspected
12,15,https://mpbd.cu.ac.bd/details.php?id=15,Opuntia dellenii (Ker Gawl.) Haw.,Opuntia dellenii (Ker Gawl.) Haw.,True,Cactaceae.,Cactus chinensis  Roxb. Cactus dillenii  Ker Gawl. Cactus indicus  Roxb. Opuntia melanosperma  Svenson,"Fonimonasa,Nagkana,Nagfana,Moi bhanga(Dalu),Narpanda-siju(Garo),Philo-rot-paw(Murong),Lawa-ka-ju(Rak","Prickly pear,Slipper thorn,Indian fig.","Impotence, digestive, carminative, diuretic, purgative, leucoderma, enlarged spleen, urinary burning,vesicular calculi, ophthalmia, dandruff, inflammation, boils to hasten suppuration, whooping cough, ashma, gonorrhoea.","The plant is used in Impotence, digestive, carminative, diuretic, purgative, leucoderma, enlarged spleen, urinary burning, vesicular calculi, ophthalmia, dandruff, inflammation, boils to hasten suppuration, whooping cough, ashma, gonorrhoea.","Flowers contain gycoside of isorhamnetin and quercertain and glucoside narcissi. Isolation of isoquercitrin, ?-sitosterol, opintiol. Apolysaccharide contains galactose and arabinose from pods.",Shrub,,"Shrubs sprawling or erect. Trunk absent or short. Larger, terminal joints green to gray-green, obovate or elliptic-obovate to suborbicular. Areoles 2-9 mm in diam. Leaves subulat, deciduous. Sepaloids greenish with yellow margin, broadly deltoid-obovate to obovate, margin entire or slightly crisped, apex mucronate. Petaloids spreading, bright yellow, obovate or cuneate-obovate,margin entire or slightly undulate, apex rounded, truncate, or emarginate. Filaments yellow, anthers yellow. Style yellow or yellowish, stigmas 5, pale green. Fruit purple, turbinate to obovoid, fleshy at maturity, umbilicus deep. Seeds light tan, irregularly orbicular. Fl. Jun-Oct(-Dec).",5dc34d09c0d5141956cec565.html,200,2026-09-24T18:38:17.948439+00:00,encoding_loss_suspected
13,16,https://mpbd.cu.ac.bd/details.php?id=16,Achyranthes aspera L.,Achyranthes aspera L.,True,Amaranthaceae,Achyranthes acuminata  E.Mey. ex Cooke & Wright Achyranthes grandifolia  Moq.Cadelaria punctata Raf.,"Apang,Upatlanga,Bilaykhamchi,Uvolengra(Chakma),Ubdanegra(Dalu),Mimang-Khachi(Garo),Upatlengra(Hajong","Prickly Chaff-Flower,Rough chaff tree.","Gastric, pneumonia, in bites of poisonous animal, jaundice, urinary trouble, abortion, Asthma, Asthma, bronchites, carbuncle, constipation, cough, diabetes, epistaxis, gastric tumor, gout, gynecological disease, hook worm infestation, hysteria, illhealth,","The plant is used in Gastric, pneumonia, in bites of poisonous animal, jaundice, urinary trouble, abortion, Asthma, bronchites, carbuncle, constipation, cough, diabetes, epistaxis, gastric tumor, gout, gynecological disease, hook worm infestation, hysteri","Chemical analysis shows that seeds contain hentriacontane and saponin, oleanolic acid. Alkaloid Achyranthine identified as betaine lowers B.P.; depresses heart; causes vasodilation; increased respiration; spasmodic on rectal muscle; has a diuretic and pur",Herb,This  species found throughout  Bangladesh.,"Perennial herb (sometimes woody and somewhat suffrutescent), stems stout to very weak, distinctly to obscurely 4-angled, striate or sulcate, subglabrous to densely tomentose, the nodes ±shrunken when dry. Leaves elliptic, oblong or oval and acute or acuminate to almost round and very obtuse. Inflorescences at first dense, finally. Bracts lanceolate or narrowly deltoid-lanceolate, pale or brownish-membranousPerianth whitish or pale green to red or purple. Stamens 5, the filaments alternating with subquadrate pseudo-staminodes. Style slender.Capsule present. Seed filling the capsule, cylindrical, smooth.",e382971346e21cd225d013b7.html,200,2026-09-24T18:38:19.144003+00:00,
14,17,https://mpbd.cu.ac.bd/details.php?id=17,Plumbago indica L.,Plumbago indica L.,True,Plumbaginaceae.,Plumbago rosea  L. Thela coccinea  Lour.,"Raktachita,Agnichita,Lalichita,Agunichita(Chakma),Aigga(Garo),Kaing-kheo(Marma).","Rose-coloured lead-wort,Rosey-flowered leadwort.","Hepatitis, piles, rheumatism, leprosy, scabies, dysentery, tumours, abortion, body pain, cirorhosis,contraception, diarrhoea, duodenal ulcer, dysentery, embrayopathy, flatulence, gastric tumor, gastric ulcer, gynecological disease, hepatomegaly, hyper aci","The plant is used in Hepatitis, piles, rheumatism, leprosy, scabies, dysentery, tumours, abortion, body pain, cirorhosis, contraception, diarrhoea, duodenal ulcer, dysentery, embrayopathy, flatulence, gastric tumor, gastric ulcer, gynecological disease, h","Plubbagin, sitosterol, glucoside.",Shrub,"The species occurs in the forests of Chittagong,Chittagong hill tracts and Dhaka.","Shrubs with long succulent roots; branches sometimes rooting, cylindrical, striate, without fascicled leaves in the axils, young stems flaccid. Leaves alternate, oblong-elliptic, broadest towards the middle, acute at apex, attenuate at base, glabrous, finely scurfy underneath. Flowers red in long purplish red to scarlet racemes, not corymbose, rachis and bracts without glands. Sepals red, glandular all over. Corolla tube lobes, obovate, distinctly mucronate. Filaments of stamens as long as the corolla tube, anthers exserted just beyond the throat. Ovary ovate-oblong, style base hairy, stigmas 5.",6ffe03661429c66d53264791.html,200,2026-09-24T18:38:20.505110+00:00,
15,18,https://mpbd.cu.ac.bd/details.php?id=18,Vateria indica L.,Vateria indica L.,True,Dipterocarpaceae,,Shetadrup,,"Diarrhoea, convulsion","The plant is used in Diarrhoea, convulsion.","Damar resin. 1.06% essential oil in fruit.di-Epicatechiri, fistinidol and afzelechin from bark. Seeds yield a semi-sohd fat, known as piney tallow or dhupa fat.",Tree,,"Evergreen trees, bark greyish, blotched with white and green, smooth; exudation, sticky, resinous; branchlets puberulus. Leaves simple, alternate; stipule narrow, lateral, deciduous; petiole, stout, stellate pubescent, swollen tipped; lamina oblong, base round, obtuse or cordate, apex acuminate or obtusely acute, margin entire, glabrous, coriaceous,.Flowers bisexual, white, sepals 5, free, lanceolate, covered with stellate hairs; petals 5, white, obovate, spreading, shortly united at base; stamens many, free; filaments hairy; anthers often slightly hairy at base; connective produced into a filiform appendage; ovary superior, ovoid-oblong, tomentose, 3-celled, 2-ovules in each cell; style filiform, glabrous; stigma small. Fruit a capsule,pale brown, Ovoid or oblong-ovoid, lanceolate, tip acuminate; seed one.",d2e1a7810d0252bb33aa0ce1.html,200,2026-09-24T18:38:21.565789+00:00,
16,19,https://mpbd.cu.ac.bd/details.php?id=19,Mesua ferrea L.,Mesua ferrea L.,True,Clusiaceae,Mesua nagassarium(Burm.  f.)Kosterm.,"Nageswar,Nagkesar,Muralia,Nagchampa,Naksawi(Chakma),Ceylon-ironwood(Chak),Ksimdi(Garo), Seutump(Khas","Mesua,Indian rose chestnut ,Nagas tree,Ironwood.","Fever, gastric tumor, stomachache, strangury, astringrent, stomachic, cough, bleeding piles, burning feet, dysentery, itch, rheumatism, sudorific.","The plant is used in Fever, gastric tumor, stomachache, strangury, astringrent, stomachic, cough, bleeding piles, burning feet, dysentery, itch, rheumatism, sudorific.","Mammeisin from seeds. Mesuagin from seed oil. Flowers contain essential oil, two bitter substances with bitter principle mesuol 1%. Antibiotic activity of mesuol, mesuone and kerneill and shell oils.",Tree,": The species occurs in the forests of Chittagong,Chittagong hill  tracts and Sylhet","Trees are  evergreen. Trunk upright, buttressed at base; crown conic. Bark dark gray-brown, thin, fissured, lamellate, exuding aromatic white resin when wounded. Leaves always pendulous; leaf blade reddish yellow when young, becoming dark green, base cuneate, apex acuminate or long acuminate to caudate. Flowers bisexual, solitary, axillary. Sepals (outer 2 slightly larger than inner 2) orbicular, convex, margin membranous and sometimes white ciliate. Petals white, obovate-cuneate. Stamens with filaments filiform,anthers golden-yellow, oblong. Ovary conic; stigma oblique. Fruit broadly ovoid or laterally depressed globose. Seeds 1-4, ± irregular in shape; coat brown, fragile. Fl. Mar-May, fr. Aug-Oct.",9b983f1073946094a86d9b77.html,200,2026-09-24T18:38:22.952302+00:00,
17,20,https://mpbd.cu.ac.bd/details.php?id=20,Helicteres isora L.,Helicteres isora L.,True,Sterculiaceae,Helicteres grewiaefolia  DC. Isora grewiaefolia  (DC.) Schott & Endl. Ixora versicolor  Hassk.,"Jankaphal,Atmura,Mura,Atmora,Pichrangi.",East Indian screw-tree,"Eczema, skin diseases, demulcent, astringent, bowels, flatulence, chronic dysentery,  intestinal worms, dysentery, diarrhoea, biliousness, cough, asthma, diabetes, stomach affections, expectorant, anti-galactagogue, griping, scabies.","The plant is used in eczema, skin diseases, demulcent, astringent, bowels, flatulence, chronic dysentery, intestinal worms, dysentery, diarrhoea, biliousness, cough, asthma, diabetes, stomach affections, expectorant, anti-galactagogue, griping, scabies","Bark contains chloroplast pigments, phyto-sterol, a hydroxy-carboxyho acid, a crystalline colouring matter, saponins, sugars, phlobotannins and lignin.",small tree,The  species occurs in the forests of Tangail and Dhaka.,"Large shrubs or small trees; bark pale greyish, finely wrinkled; young shoots stellate- tomentose. Leaves obovate to suborbicular, base cordate, margin irregularly crenate- serrate, apex acute or acuminate, Flowers axillary, solitary or in few-flowered cymes; bracts linear. Calyx slightly yellow, persistent, tubular, splitting in to 5 irregular lobes Petals 5, unequal, obovate, clawed, crimson, fading to pale blue. Staminal column 3-3.5 cm long, cylindric; stamens 10 ; staminodes 5. Ovary placed at tip of gynophore, 5-lobed, 5-celled; ovules many; style 5; stigma subulate. Follicles, spirally twisted, stellate-tomentose, beaked. Seeds angular, black, wrinkled",0a5bb4fc3a44135d38b6bf16.html,200,2026-09-24T18:38:23.981356+00:00,
18,21,https://mpbd.cu.ac.bd/details.php?id=21,Abelmoschus esculentus (L.) Moench,Abelmoschus esculentus (L.) Moench,True,Malvaceae,Abelmoschus officinalis(DC.)  Endl. Abelmoschus longifolius(Willd.)  Kostel. Hibiscus esculentusL.,"Bhendi,Dheros,Okra,Posuaci(Chakma),Kelki-kelky(Lushai),Clg-long(Murong),Gang-khya-yeon(Rakhaing).","Lady’s finger,Okra,Gumbo,Common okra.","Chronic dysentery, gonorrhoea, urinary discharges, strangury, diarrhoea, spesrmatorrhoea, cancer","This plan used in Chronic dysentery, gonorrhoea, urinary discharges, strangury, diarrhoea, spesrmatorrhoea, cancer","Pods contain carotene, folic acid, thiamin, riboflavin, niacin, vitamin C, oxalic acid and essential amino acids. Thirteen flavonol glycosides and two anthocyanins from flower petals. Gossypetin and hibiscetin glucosides; oxalic acid and oxalates, volatil",Herb,This  species found throughout  Bangladesh.,"An Erect, annual herb. Stem often tinged red, sparsely, simple, stiff hairy, somewhat rough. Leaves broadly ovate to orbicular, cordate at base; stipules filiform;. Flowers axillary, solitary; Corolla yellow or yellowish white with a purple spot at the base; petals 3-4.5 cm long and broad.. Capsule cylindrical, 5-angled, acuminate, simple hairy, hirsute when young, glabrescent. Seeds 5-15 in each cell, reniform or ovoid, dark brown, glabrous.",85cc8bbbb548307329700fde.html,200,2026-09-24T18:38:25.370389+00:00,
19,22,https://mpbd.cu.ac.bd/details.php?id=22,Gossypium arboreum L.,Gossypium arboreum L.,True,Malvaceae,Gossypium albiflorum  Tod. Gossypium asiaticum  Raf. Gossypium rubrum  Forssk. Gossypium roxburghii,"Karpas,Rui,Tula,Hookbai(Dalu),Chon-na-khel(Garo).","Tree cotton,Comilla Cotton",Irregular menstruation,The plant is used in Irregular menstruation.,Alcoholic extract of aerial parts is CNS depressant.,Shrub,"The  species occurs  in the forests of Chittagong,Chittagong hill  tracts.","Subshrubs or shrubs, perennial. Young branchlets villous. Stipules filiform, caducous; petiole puberulent and villous; leaf blade 3-5-lobed. Flowers solitary, axillary. Pedicel villous. Calyx shallowly cup-shaped, nearly truncate. Corolla yellowish, often dark purple in center, campanulate; Staminal column; filaments uniform in length. Capsule 3(or 4 or 5)-loculed, cone-shaped, usually pendulous. Seeds 5-8 per cell, free, ovoid. with white wool and moderately persistent short fuzz. Fl. Jun-Sep.",2824c3afede336be64612154.html,200,2026-09-24T18:38:26.509992+00:00,
20,23,https://mpbd.cu.ac.bd/details.php?id=23,Viola odorata L.,Viola odorata L.,True,Violaceae,Viola odorata  f. odorata Viola wiedemannii  Boiss.,Bonfasha phul,,"Headache, constipation.","The plant is used in Headache, constipation.","Flowers contain an emetic principle violin which is acrid and bittter, a volatile oil, rutin, cyanin, a colourless chromogen, a glycoside of methyl salicylate and sugar. Leaves contain an essential oil, an alkaloid, colouring matter, friedelin, ?-sitoster",Herb,,"Herbs perennial, acaulescent, stoloniferous.Rhizome erect or oblique, brownish. Leaves basal; leaf blade orbicular or reniform to broadly ovate-cordate, smaller at anthesis, base deeply cordate, margin crenate, apex rounded or ± acute. Flowers deep purple, large, fragrant; pedicels long, slender. Sepals oblong or oblong-ovate. Petals crenate; spurs of 2 anterior stamens robust.Ovary puberulous; styles slender and straight at base, thickened upward and slightly compressed. Capsule globose. Fl. Apr-May, fr. Jun-Sep.",06fdd0e8d3ba80016ff3cba2.html,200,2026-09-24T18:38:27.971359+00:00,encoding_loss_suspected
