plant_index,site_id,detail_url,scientific_name_master,scientific_name_page,name_match,family_page,synonym_page,bangla_name,english_name,disease_raw,uses_raw,chemical_constituents_raw,habit,distribution_raw,description_raw,source_cache_file,http_status,scrape_timestamp,quality_flags
857,866,https://mpbd.cu.ac.bd/details.php?id=866,Ficus hirta Vahl.,Ficus hirta Vahl.,True,Moraceae,Ficus hibiscifolia  Champ. ex Benth. Ficus katsumadae  Hayata Ficus palmatiloba  Merr. Ficus setosa  Blume,"Teng bong gass(Chakma),Thammanggdu(Tripura) Dadhuri,Dangra,Khandadumur,Pakur,",-,"Tumor, urinary problem, snake bite, paralysis, fever, food poisoning, lipoma, neck pain, stomach disorder, tetanus","Tumor, urinary problem, snake bite, paralysis, fever, food poisoning, lipoma, neck pain, stomach disorder, tetanus",-,Shrub,-,"Shrubs or small trees. Branchlets leafless in middle, golden yellow or brown hirsute. Stipules red, ovate-lanceolate. Leaves alternate; petiole brown hirsute; leaf blade simple, base cuneate, rounded, or shallowly cordate, margin entire or with small serrations, apex acute to acuminate. Figs axillary on normal leafy shoots, paired,apex acute. Male and gall flowers sessile or shortly pedicellate. Male flowers: pedicellate; calyx lobes 4, red, lanceolate; stamens 2 or 3; anthers ellipsoid, longer than filaments. Gall flowers: calyx lobes 4; ovary globose or ovoid-globose, smooth; style lateral, short; stigma funnelform. Female flowers: sessile or pedicellate; calyx lobes 4; style persistent, long, thin, attached on one side, slightly concave; stigma clavate. Achenes ellipsoid-globose, smooth.",0643ec7f8b425578543108af.html,200,2026-09-24T18:56:11.289746+00:00,
858,867,https://mpbd.cu.ac.bd/details.php?id=867,Ficus heterophylla L.f.,Ficus heterophylla L.f.,True,Moraceae,Ficus aquaticaK.D.Koenig  ex Willd. Ficus cannabina  Lour. Ficus denticulata  Willd. Ficus scabrella  Roxb.,"Ludi-jogna sarbua(Chakma),Barokegoi(Tanchangya), Bhui-Dumur,Shaora,Ghati,Bala lata,Ballam dumur",-,"Tumor, constipation, rheumatism, paralysis","Tumor, constipation, rheumatism, paralysis",-,Shrub,-,"Shrubs, procumbent. Branchlets becoming reddish brown, slender, shortly pubescent. Stipules caducous, short, membranous. Leaves distichous; leaf blade ovate-lanceolate to ovate-elliptic, juvenile leaves usually pinnately lobed, papery, base obtuse, rounded, or cordate, margin toothed or entire, apex slightly acuminate;. Figs axillary on leafy or older leafless branches, solitary, yellowish orange and smooth when mature, globose to pear-shaped.Male flowers: near apical pore; pedicellate; calyx deeply 3- or 4-lobed; stamen 1. Gall flowers: pedicellate; calyx lobes 3 or 4; ovary ovoid; style lateral, short; stigma enlarged. Female flowers: pedicellate; calyx lobes 4, white; style persistent, lateral, long; stigma cylindric. Achenes shortly ellipsoid, surface with a transparent membrane. Fl. Jul-Nov.",b5a2e0a049d3bc6a428ca686.html,200,2026-09-24T18:56:12.658576+00:00,
859,868,https://mpbd.cu.ac.bd/details.php?id=868,Ficus hederacea Roxb.,Ficus hederacea Roxb.,True,Moraceae,Ficus anabatos  Voigt Ficus cantoniensisBodinier  ex H.Lév. Ficus fructicosa  Roxb. Ficus longipes  Griff.,Gasi-dumur,Climbing Fig,"Cut, boils, chest pain, epilepsy, fever, gout, jaundice, paralysis, remitting fever, stomachache, strangury, tuberculosis","Cut, boils, chest pain, epilepsy, fever, gout, jaundice, paralysis, remitting fever, stomachache, strangury, tuberculosis",-,Shrub,-,"Shrubs, scandent. Stems and branchlets with aerial roots at nodes; branchlets pubescent when young. Stipules caducous, ovate. Leaves distichous; petiole thick; leaf blade elliptic to ovate-ellipticthickly leathery, with hairs when young, both sides with papillate cystoliths, base broadly cuneate to obtuse, margin entire, apex obtuse to occasionally rounded; Figs axillary on leafy or on leafless branchlets, solitary or paired, yellowish green to red when mature, globose, with thick and short hairs when young, inside without bristles. Male flowers: few, scattered, sessile; calyx lobes 3 or 4; stamens 2; filaments free; anthers not mucronate. Gall flowers: pedicellate; calyx lobes 4, lanceolate; ovary obovate, hard, black; style subapical, short; stigmas curved. Female flowers: pedicellate or sessile; calyx lobes 4, linear. Achenes ellipsoid, dorsally keeled; stigmas extended. Fl. May-Jul.",38862d5fbd1a6c710f98bb62.html,200,2026-09-24T18:56:14.167375+00:00,
860,869,https://mpbd.cu.ac.bd/details.php?id=869,Ficus curtipes Corner,Ficus curtipes Corner,True,Moraceae,Ficus obtusifolia  Roxb.,"Ghama-dumur,Swet Bot",-,"Bone fracture, scabies","Bone fracture, scabies",-,Tree,-,"Trees stems often basally many branched, epiphytic when young. Bark pale grayish, smooth. Branchlets green,. Stipules lanceolate to ovate-lanceolate, Petiole robust; leaf blade narrowly elliptic to ovate-elliptic, , thickly leathery, abaxially pale green, adaxially dark green, base cuneate, margin entire, apex rounded;. Figs axillary on leafy branchlets, paired, dark red to purplish red when mature, globose to depressed globose, Male, gall, and female flowers within same fig. Male flowers: pedicellate; calyx lobes 3, lanceolate; stamen 1. Gall flowers: sessile or pedicellate; calyx lobes 4; ovary white; style subapical, long. Female flowers: sessile; style apical, persistent, as long as achene; stigma funnelform. Achenes ovoid, with a sticky surface membrane, tuberculate. Fr. late autumn to early winter.",d2d12cc29c9cce55066135c9.html,200,2026-09-24T18:56:15.295336+00:00,
861,870,https://mpbd.cu.ac.bd/details.php?id=870,Canscora alata (ROTH) WALL.,Canscora alata (ROTH) WALL.,True,Gentianaceae,Canscora decussata  Roem. & Sch. Cobamba blancoi  Blanco Exacum alatum  Roth Pladera decussata  Roxb.,Dhankuni.,-,"Laxative, alterative, tonic, fresh, insanity, epilepsy, gonorrhea, leucorrhoeal and spermatorrhoeal discharge.","The plant is useful as laxative, alterative and tonic, fresh juice is prescribed in insanity, epilepsy and nervous debility. It is a valuable alterative, prescribed as a blood purifier in syphilis, gonorrhoea and other chronic skin ailments. Root bark is","Aerial parts and flowering tops contain free xanthones, xanthone glucosides, (-)-loliolide, methoxy- and hydroxyxanthones and its 3-O-rutinosyl derivative. Roots contain ?-amyrin, friedelin, gentianine, xanthones, and 16 xanthones including mangiferin. As",Shrub,"Chittagong, Dhaka, Sreepur (Gajipur), Madhupur, Chuadanga, Paharpur, Naogon, Comilla, Sylhet in fallow lands","An erect, branching annual, up to 60 cm high. Stems 4-winged. Leaves 2.5-3.8 cm long, oblong-lanceolate, acute 3-nerved. Cymes lax, the branches erect rigid. Flowers white, those in the forks long-pedicelled, calyx 8-13 mm long, winged, corolla tube as long as calyx. Capsule subcylindrical, 6-8 mm long, tipped by persistent style.",f1cb383bcedba1636e0da0eb.html,200,2026-09-24T18:56:16.676793+00:00,encoding_loss_suspected
862,871,https://mpbd.cu.ac.bd/details.php?id=871,Canscora DIFFUSA (Vahl.) R. Br.,Canscora  DIFFUSA (Vahl.) R. Br.,True,Gentianaceae,Canscora foliosa  D.Don Canscora stricta  Sedgw. Cobamba dichotoma  Blanco Exacum erectum  (R.Br.) Roth Gentiana diffusa  Vahl,-Nunukkhai(Marma.).,-,Nerve tonic,Plant is used as a nerve tonic and substitue for C. decussata (no. 141).,"These are similar to those of Canscora decussata (Ghani, 2003).",Herb,"Chittagong, Maheshkhali, St. Martins (Cox’s Bazar), Kaptai, Lama, Faridpur, Barguna, Rajshahi, Kustia, Dhaka, in fallow lands.","An erect, much-branched, slender annual, 15-60 cm high. Leaves membranous, 1.8-4 cm long, 3-nerved, broadly ovate, acute, lower smaller, elliptic, acute. Flowers numerous, rosy, in lax, diffuse, paniculate cymes, calyx tube up to 6 mm long, 4-ribbed, corolla tube up to 8 mm long. Capsule oblong, 4-7 mm long.",10bb5334626db0a4e69faf04.html,200,2026-09-24T18:56:17.854715+00:00,
863,872,https://mpbd.cu.ac.bd/details.php?id=872,Capparis ZEYLANICA L.,Capparis  ZEYLANICA L.,True,Capparidaceae,Capparis crassifolia  Kurz Capparis horrida  L.f. Capparis quadriflora  Dc. Capparis terniflora  Dc.,"Asarilata, Asaria, Kalokera, Kalukoan, Baganoi.",-,"Sedative, cooling, cholagogue, stomachic, antihidrotic, cholera, boils, swellings, piles and rheumatism.","Root bark is sedative, cooling, cholagogue, stomachic and antihidrotic, along with spirit given in cholera. Leaves are used as a counter irritant and as a cataplasm in boils, swellings, piles and rheumatism. Flowers are used as laxative.","Leaves and seeds contain thioglucosides, glucocapparin, n-tricontane, ?-and ?-amyrin, an alkaloid, a phytosterol, a mucilaginous substance and a water-soluble acid, capric acid. The seeds contain fixed oil (Ghani, 2003).",Shrub,"Dhaka, Chittagong, Patuakhali, Maheshkhali, Madhupur.","Description of the plant: A rigid, climbing, much-branched shrub, young parts clothed with rufous tomentum. Leaves 2.5-7.5 cm long, elliptic, oblong, obtuse, acute or retuse, stipular spines hooked. Flowers supra-axillary, solitary or 2-3, one above the other in a vertical line, the upper the longest. Sepals 9 mm long, densely rufous-pubescent outside, petals twice as long as the sepals, densely villous. Fruit subglobose, 3.2 cm across.",9d87792ee2a336b2c861559d.html,200,2026-09-24T18:56:19.305108+00:00,encoding_loss_suspected
864,873,https://mpbd.cu.ac.bd/details.php?id=873,Capsicum ANNUUM L.,Capsicum  ANNUUM L.,True,Solanaceae,Capsicum angulosum  Mill. Capsicum comarim  Vell. Capsicum crispum  Dunal Capsicum frutescens  L Capsicum minimum  Roxb.,"Lanka-marich, Marich.","Chillies, Bird Chilli, Goat Pepper.","uralgia and rheumatism. Internally it is tonic and carminative, atonic, dysentery,","Using information: Fruits are stomachic and stimulant, used as an adjunct to tonic and bitter medicines. Capsicum has a powerful action on the mucous membrane and is beneficial in sore throat, used as a rubefacient liniment. Capsicum preparations used a","Fruits contain an oleoresin which contains the pungent principles, capsaicin and dihydorcapsaicin as the major constituents. They also contain homocapsaicin, homodihydrocapsaicin, nordihydrocapsaicin, nonanoic acid, vanillylamide, vitamin C and minerals.",Shrub,Cultivated throughout the country.,"Shrubley perennial plants, 0.75-1.8 m high. Leaves broadly ovate. Flowers axillary white or greenish white, usually 2 or more together. Calyx embracing the base of the fruit. Fruit ovoid to oblong, obtuse or acuminate, red when ripe.
Disease: Stomachic, stimulant, tonic, lumbago, neuralgia, rheumatism, carminative, dyspepsia, dysentery and cough.",e8f4f12adf53335a05f148b1.html,200,2026-09-24T18:56:20.504812+00:00,
865,874,https://mpbd.cu.ac.bd/details.php?id=874,Cardiospermum HALICACABUML.,Cardiospermum  HALICACABUML.,True,Sapindaceae,Cardiospermum acuminatum  Miq. Cardiospermum inflatum  Salisb. Cardiospermum moniliferum  Sw. ex Steud. Cardiospermum truncatum  A.Rich.,"Lataphatkari, Sibjhul, Lataphatki. ,Kalaboitta (Chakma), Nala maiachi (Marma).","Baloon vine, Winter cherry, Hearts pea, Heart seed.","Rheumatism, gonorrhea, anthelmintic, dropsy, measles, stimulant, diuretic, piles, amenorrhoea, gonorrhoea, rheumatism, erysipelas, intestinal worms, diaphoretic, emetic, laxative, rubefacient, emmenagogue, occasionally, lumbago, fever and nervous diseases","The whole plant, rubbed up with water is applied to rheumatism and stiffness of the limb. The juice of the plant promotes the catamenial flow during the menstrual period. It is also a demulcent in gonorrhoea and in pulmonary affection. In Indo-China the p","The plant contains cyanogenic glycosides, saponin, flavones, sterols and essential oil. Leaves contain pinitol, glucuronides of apigenin, chrysoeriol and luteolin. Fatty acids of the seed lipid include arachidic, linoleic and stearic acids. Seed oil also",Climber,Throuhout the country in fallow lands,"A climber with wiry stems. Leaves 3.7-7.6 cm, deltoid, 2-ternate, ultimate segments of the leaves lanceolate, inciso-serrate. Flowers very small, white, in few-flowered axillary, umbellate cymes, peduncles slender, 3.8-10 cm long, provided with two circinate tendrils at the top. Capsules 1.25-3.7 cm wide, depressed-pyriform, trigonous, truncate at top, bladdery.",cd53b0646324ae03844bd0c5.html,200,2026-09-24T18:56:21.750976+00:00,
866,875,https://mpbd.cu.ac.bd/details.php?id=875,Careya ARBOREA Roxb.,Careya  ARBOREA Roxb.,True,Lecythidaceae,Barringtonia arborea  (Roxb.) F.Muell. Careya orbiculata  Miers Careya sphaerica  Roxb. Careya venenata  Oken,": Kumbi, Kumba, Gade, Gadila, Gadula (Dhaka-Mymensingh), Biripata (Rema-Kalenga), ,Borpatk (Chakma), Bol-dimbel, Gambel, Goombal (Garo).",Kumbi.,"Alexiteric, diuretic, anthelmintic, tumours, dyspepsia, colic, bronchitis, piles, leucoderma and skin diseases.","Plant is used in prolapsus ani and fistula ani. The bark is alexiteric, diuretic and anthelmintic, useful in tumours, dyspepsia, colic, bronchitis, piles, leucoderma and skin diseases. It is used for diarrhoea in Rema-Kalenga. Bark after moistening, presc","Leaves contain maslinic acid, a triterpenoid lactone, careyagenolide, tannins, saponions, sapogenol, hexacosanol, quercetin, ellagic acid, taraxerol, ?-sitosterol, ?-spinasterol. They also contain valoneic acid, ellagic acid dimethylether, triterpene este",Tree,Dhaka-Mymensingh and dry forests of Sylhet.,"A small to medium-sized, deciduous tree, with spreading branches. Leaves up to 30 cm long, broadly obovate or obovate-oblong, rounded or shortly acuminate. Flowers large, white, ill-smelling, sessile, in thick, swollen, hard, few-flowered terminal spikes, 7.6-20 cm long. Fruit 6.3-7.5 cm across, globose.",dfc3e9c7e203537536c04360.html,200,2026-09-24T18:56:23.228696+00:00,encoding_loss_suspected
