plant_index,page_number,site_id,detail_url,scientific_name_master,scientific_name_listpage,name_match
471,48,478,https://mpbd.cu.ac.bd/details.php?id=478,Ipomoea PES-CAPRAE (L.) R.Br.,Ipomoea  PES-CAPRAE (L.) R.Br.,False
472,48,479,https://mpbd.cu.ac.bd/details.php?id=479,Ipomoea OBSCURA Ker-Gawl.,Ipomoea  OBSCURA Ker-Gawl.,False
473,48,480,https://mpbd.cu.ac.bd/details.php?id=480,Ipomoea MAXIMA (L.f.) Don. ex. Sweef.,Ipomoea  MAXIMA (L.f.) Don. ex. Sweef.,False
474,48,481,https://mpbd.cu.ac.bd/details.php?id=481,Ipomoea MAURITIANA Jacq.,Ipomoea  MAURITIANA Jacq.,False
475,48,482,https://mpbd.cu.ac.bd/details.php?id=482,Ipomoea BATATUS (L.) Lamk.,Ipomoea  BATATUS (L.) Lamk.,False
476,48,483,https://mpbd.cu.ac.bd/details.php?id=483,Ipomoea AQUATICA Forsk.,Ipomoea  AQUATICA Forsk.,False
477,48,484,https://mpbd.cu.ac.bd/details.php?id=484,Ipomoea ALBA L.,Ipomoea  ALBA L.,False
478,49,485,https://mpbd.cu.ac.bd/details.php?id=485,Indigofera TINCTORIA L.,Indigofera  TINCTORIA L.,False
479,49,486,https://mpbd.cu.ac.bd/details.php?id=486,Imperata CYLINDRICA Rausch.,Imperata  CYLINDRICA Rausch.,False
480,49,487,https://mpbd.cu.ac.bd/details.php?id=487,Impatiens BALSAMINA L.,Impatiens  BALSAMINA L.,False
481,49,488,https://mpbd.cu.ac.bd/details.php?id=488,Ichnocarpus FRUTESCENS (L.) R. Br.,Ichnocarpus  FRUTESCENS (L.) R. Br.,False
482,49,489,https://mpbd.cu.ac.bd/details.php?id=489,Hyptis SUAVEOLENS (L.) Poit.,Hyptis  SUAVEOLENS (L.) Poit.,False
483,49,490,https://mpbd.cu.ac.bd/details.php?id=490,Hypericum JAPONICUM Thunb.,Hypericum   JAPONICUM Thunb.,False
484,49,491,https://mpbd.cu.ac.bd/details.php?id=491,Hymenodictyon ORIXENSIS (Roxb.) Mabberly,Hymenodictyon  ORIXENSIS (Roxb.) Mabberly,False
485,49,492,https://mpbd.cu.ac.bd/details.php?id=492,Hygroryza ARISTATA (Retz.) Nees.,Hygroryza  ARISTATA (Retz.) Nees.,False
486,49,493,https://mpbd.cu.ac.bd/details.php?id=493,Hygrophila AURICULATA (Schum.) Heyne.,Hygrophila  AURICULATA (Schum.) Heyne.,False
487,49,494,https://mpbd.cu.ac.bd/details.php?id=494,Hydrolea ZEYLANICA Vahl.,Hydrolea  ZEYLANICA Vahl.,False
488,50,495,https://mpbd.cu.ac.bd/details.php?id=495,Hydnocarpus KURZII (King.) Warb.,Hydnocarpus  KURZII (King.) Warb.,False
489,50,496,https://mpbd.cu.ac.bd/details.php?id=496,Hybanthus ENNEASPERMUS (L.) F. Muell.,Hybanthus  ENNEASPERMUS (L.) F. Muell.,False
490,50,497,https://mpbd.cu.ac.bd/details.php?id=497,Hoya PARASITICA Wall.,Hoya  PARASITICA Wall.,False
491,50,498,https://mpbd.cu.ac.bd/details.php?id=498,Hopea ODORATA Roxb.,Hopea  ODORATA Roxb.,False
492,50,499,https://mpbd.cu.ac.bd/details.php?id=499,Homalomena aromatica (Spreng.) Schott.,Homalomena aromatica (Spreng.) Schott.,True
493,50,500,https://mpbd.cu.ac.bd/details.php?id=500,Holarrhena PUBESCENCE (Buch.-Ham.) Wall.,Holarrhena  PUBESCENCE (Buch.-Ham.) Wall.,False
494,50,501,https://mpbd.cu.ac.bd/details.php?id=501,Hiptage BENGHALENSIS (L.) Kurz.,Hiptage  BENGHALENSIS (L.) Kurz.,False
495,50,502,https://mpbd.cu.ac.bd/details.php?id=502,Hibiscus TILLIACEUS L.,Hibiscus  TILLIACEUS L.,False
496,50,503,https://mpbd.cu.ac.bd/details.php?id=503,Hibiscus SURATTENSIS L.,Hibiscus  SURATTENSIS L.,False
497,50,504,https://mpbd.cu.ac.bd/details.php?id=504,Hibiscus SABDARIFFA L.,Hibiscus  SABDARIFFA L.,False
498,51,505,https://mpbd.cu.ac.bd/details.php?id=505,Hibiscus ROSA-SINENSIS L.,Hibiscus  ROSA-SINENSIS L.,False
499,51,506,https://mpbd.cu.ac.bd/details.php?id=506,Hibiscus MUTABILIS L.,Hibiscus  MUTABILIS L.,False
500,51,507,https://mpbd.cu.ac.bd/details.php?id=507,Hibiscus CANABINUS L.,Hibiscus  CANABINUS L.,False
501,51,508,https://mpbd.cu.ac.bd/details.php?id=508,Schefflera hypoleuca (Kurz) Harms.,Schefflera hypoleuca (Kurz) Harms.,True
502,51,509,https://mpbd.cu.ac.bd/details.php?id=509,Hemigraphis HIRTA (Vahl.) And.,Hemigraphis  HIRTA (Vahl.) And.,False
503,51,510,https://mpbd.cu.ac.bd/details.php?id=510,Hemidesmus INDICUS (L.) R. Br.,Hemidesmus  INDICUS (L.) R. Br.,False
504,51,511,https://mpbd.cu.ac.bd/details.php?id=511,Helminthostachys ZEYLANICA L.,Helminthostachys  ZEYLANICA L.,False
505,51,512,https://mpbd.cu.ac.bd/details.php?id=512,Heliotropium INDICUM L.,Heliotropium  INDICUM L.,False
506,51,513,https://mpbd.cu.ac.bd/details.php?id=513,Helicteres ISORA L.,Helicteres  ISORA L.,False
507,51,514,https://mpbd.cu.ac.bd/details.php?id=514,Helianthus ANNUS L.,Helianthus  ANNUS L.,False
508,52,515,https://mpbd.cu.ac.bd/details.php?id=515,Hedyotis SCANDENS Roxb.,Hedyotis  SCANDENS Roxb.,False
509,52,516,https://mpbd.cu.ac.bd/details.php?id=516,Oldenlandia diffusa (Willd.) Roxb.,Oldenlandia diffusa (Willd.) Roxb.,True
510,52,517,https://mpbd.cu.ac.bd/details.php?id=517,Oldenlandia corymbosa L.,Oldenlandia corymbosa L.,True
511,52,518,https://mpbd.cu.ac.bd/details.php?id=518,Hedychium CORONARIUM Koenig,Hedychium  CORONARIUM Koenig,False
512,52,519,https://mpbd.cu.ac.bd/details.php?id=519,Peristylus constrictus (Lindl.) Lindl.,Peristylus constrictus (Lindl.) Lindl.,True
513,52,520,https://mpbd.cu.ac.bd/details.php?id=520,Gynocardia ORORATA R. Br.,Gynocardia  ORORATA R. Br.,False
514,52,521,https://mpbd.cu.ac.bd/details.php?id=521,Gymnopetalum chinense (Lour.) Merr.,Gymnopetalum chinense (Lour.) Merr.,True
515,52,522,https://mpbd.cu.ac.bd/details.php?id=522,Grewia asiatica L.,Grewia asiatica L.,True
516,52,523,https://mpbd.cu.ac.bd/details.php?id=523,Grewia SCLEROPHYLLA Roxb. ex Don.,Grewia  SCLEROPHYLLA Roxb. ex Don.,False
517,52,524,https://mpbd.cu.ac.bd/details.php?id=524,Grewia nervosa (Lour.) Panigrahi.,Grewia nervosa (Lour.) Panigrahi.,True
518,53,525,https://mpbd.cu.ac.bd/details.php?id=525,Grangea MADERESPATANA (L.) Poir.,Grangea  MADERESPATANA (L.) Poir.,False
519,53,526,https://mpbd.cu.ac.bd/details.php?id=526,Gossypium HERBACIUM L.,Gossypium  HERBACIUM L.,False
520,53,527,https://mpbd.cu.ac.bd/details.php?id=527,Gomphrena GLOBOSA L.,Gomphrena  GLOBOSA L.,False
521,53,528,https://mpbd.cu.ac.bd/details.php?id=528,Gnetum MONTANUM Markgraf,Gnetum  MONTANUM Markgraf,False
522,53,529,https://mpbd.cu.ac.bd/details.php?id=529,Laphangium luteoalbum (L.) Tzvelev.,Laphangium luteoalbum (L.) Tzvelev.,True
523,53,530,https://mpbd.cu.ac.bd/details.php?id=530,Glycosmis PENTAPHYLLA (Retz.) A. DC.,Glycosmis  PENTAPHYLLA (Retz.) A. DC.,False
524,53,531,https://mpbd.cu.ac.bd/details.php?id=531,Gmelina ARBOREA L.,Gmelina  ARBOREA L.,False
525,53,532,https://mpbd.cu.ac.bd/details.php?id=532,Gloriosa SUPERBA L.,Gloriosa  SUPERBA L.,False
526,53,533,https://mpbd.cu.ac.bd/details.php?id=533,Glochidion LANCEOLARIUM (Roxb.) Dalz.,Glochidion  LANCEOLARIUM (Roxb.) Dalz.,False
527,53,534,https://mpbd.cu.ac.bd/details.php?id=534,Glinus OPPOSITIFOLIUS (L.) A. DC.,Glinus  OPPOSITIFOLIUS (L.) A. DC.,False
528,54,535,https://mpbd.cu.ac.bd/details.php?id=535,Garuga PINNATA Roxb.,Garuga  PINNATA Roxb.,False
529,54,536,https://mpbd.cu.ac.bd/details.php?id=536,Gardenia RESINIFERA Roth.,Gardenia  RESINIFERA Roth.,False
530,54,537,https://mpbd.cu.ac.bd/details.php?id=537,Gardenia JASMINOIDES Ellis.,Gardenia  JASMINOIDES Ellis.,False
531,54,538,https://mpbd.cu.ac.bd/details.php?id=538,Gardenia CORONARIA Ham.,Gardenia  CORONARIA Ham.,False
532,54,539,https://mpbd.cu.ac.bd/details.php?id=539,Ceriscoides campanulata (Roxb.) Tirveng,Ceriscoides campanulata (Roxb.) Tirveng,True
533,54,540,https://mpbd.cu.ac.bd/details.php?id=540,Garcinia XANTHOCHYMUS Hook. f.,Garcinia  XANTHOCHYMUS Hook. f.,False
534,54,541,https://mpbd.cu.ac.bd/details.php?id=541,Garcinia COWA Roxb.,Garcinia  COWA Roxb.,False
535,54,542,https://mpbd.cu.ac.bd/details.php?id=542,Foeniculum VULGARE Mill.,Foeniculum  VULGARE Mill.,False
536,54,543,https://mpbd.cu.ac.bd/details.php?id=543,Floscopa SCANDENS Lour.,Floscopa  SCANDENS Lour.,False
537,54,544,https://mpbd.cu.ac.bd/details.php?id=544,Flemingia STROBILIFERA R.Br.,Flemingia  STROBILIFERA R.Br.,False
538,55,545,https://mpbd.cu.ac.bd/details.php?id=545,Flemingia MACROPHYLLA (Willd.) O.Ktze. ex Merr.,Flemingia  MACROPHYLLA (Willd.) O.Ktze. ex Merr.,False
539,55,546,https://mpbd.cu.ac.bd/details.php?id=546,Flacourtia JANGOMAS (Lour.) Raeus.,Flacourtia  JANGOMAS (Lour.) Raeus.,False
540,55,547,https://mpbd.cu.ac.bd/details.php?id=547,Flacourtia INDICA (Burm.f.) Merr.,Flacourtia  INDICA (Burm.f.) Merr.,False
541,55,548,https://mpbd.cu.ac.bd/details.php?id=548,Firmiana COLORATA R. Br.,Firmiana  COLORATA R. Br.,False
542,55,549,https://mpbd.cu.ac.bd/details.php?id=549,Ficus SEMICORDATA Buch.-Ham. ex Smith.,Ficus  SEMICORDATA Buch.-Ham. ex Smith.,False
543,55,550,https://mpbd.cu.ac.bd/details.php?id=550,Ficus RELIGIOSA L.,Ficus  RELIGIOSA L.,False
544,55,551,https://mpbd.cu.ac.bd/details.php?id=551,Ficus RACEMOSA L.,Ficus  RACEMOSA L.,False
545,55,552,https://mpbd.cu.ac.bd/details.php?id=552,Ficus HISPIDA L. f.,Ficus  HISPIDA L. f.,False
546,55,553,https://mpbd.cu.ac.bd/details.php?id=553,Ficus BENJAMINA L. var. comosa (Roxb.) Kurz.,Ficus  BENJAMINA L. var. comosa (Roxb.) Kurz.,False
547,55,554,https://mpbd.cu.ac.bd/details.php?id=554,Ficus BENGHALENSIS L.,Ficus  BENGHALENSIS L.,False
548,56,555,https://mpbd.cu.ac.bd/details.php?id=555,Feronia LIMONIA (L.) Sw.,Feronia  LIMONIA (L.) Sw.,False
549,56,556,https://mpbd.cu.ac.bd/details.php?id=556,Shirakiopsis indica (Willd.) Esser,Shirakiopsis indica (Willd.) Esser,True
550,56,557,https://mpbd.cu.ac.bd/details.php?id=557,Excoecaria AGALLOCHA L.,Excoecaria  AGALLOCHA L.,False
551,56,558,https://mpbd.cu.ac.bd/details.php?id=558,Euryale FEROX Salisb.,Euryale  FEROX Salisb.,False
552,56,559,https://mpbd.cu.ac.bd/details.php?id=559,Eurya ACUMINATA DC.,Eurya  ACUMINATA DC.,False
553,56,560,https://mpbd.cu.ac.bd/details.php?id=560,Euphorbia TIRUCALLI L.,Euphorbia  TIRUCALLI L.,False
554,56,561,https://mpbd.cu.ac.bd/details.php?id=561,Euphorbia THYMIFOLIA Burm. f.,Euphorbia  THYMIFOLIA Burm. f.,False
555,56,562,https://mpbd.cu.ac.bd/details.php?id=562,Euphorbia HIRTA L.,Euphorbia  HIRTA L.,False
556,56,563,https://mpbd.cu.ac.bd/details.php?id=563,Euphorbia ANTIQUORUM L.,Euphorbia  ANTIQUORUM L.,False
557,56,564,https://mpbd.cu.ac.bd/details.php?id=564,Ayapana triplinervis (Vahl) R.M.King & H.Rob.,Ayapana triplinervis (Vahl) R.M.King & H.Rob.,True
558,57,565,https://mpbd.cu.ac.bd/details.php?id=565,Eupatorium ODORATUM L.,Eupatorium  ODORATUM L.,False
559,57,566,https://mpbd.cu.ac.bd/details.php?id=566,Graphorchis campestris (Wall.) Kuntze,Graphorchis campestris (Wall.) Kuntze,True
560,57,567,https://mpbd.cu.ac.bd/details.php?id=567,Etlingera LINGUIFORMIS (Roxb.) R.M. Smith,Etlingera  LINGUIFORMIS (Roxb.) R.M. Smith,False
561,57,568,https://mpbd.cu.ac.bd/details.php?id=568,Erythrina VARIEGATA L. var. orientalis (L.) Merr.,Erythrina  VARIEGATA L. var. orientalis (L.) Merr.,False
562,57,569,https://mpbd.cu.ac.bd/details.php?id=569,Hippochaete debilis (Roxb. ex Vaucher) Ching.,Hippochaete debilis (Roxb. ex Vaucher) Ching.,True
