plant_index,source_query,bmpdd_query_name,parser_status,rows_extracted,rows_with_cid,rows_missing_cid
381,Momordica CHARANTEA L.,Momordica CHARANTEA,ZERO_RESULTS,0,0,0
382,Mollugo PENTAPHYLLA L. (),Mollugo PENTAPHYLLA,ZERO_RESULTS,0,0,0
383,Molineria CAPITULATA (Loureiro) Herbert.,Molineria CAPITULATA,ZERO_RESULTS,0,0,0
384,Mitragyna PARVIFOLIA (Roxb.) Korth.,Mitragyna PARVIFOLIA,ZERO_RESULTS,0,0,0
385,Mirabilis JALAPA L.,Mirabilis JALAPA,ZERO_RESULTS,0,0,0
386,Mimusops ELENGI L.,Mimusops ELENGI,PASS,184,150,34
387,Mimosa PUDICA L.,Mimosa PUDICA,ZERO_RESULTS,0,0,0
388,Mikania CORDATA (Burm. f.) Rob,Mikania CORDATA,PASS,126,126,0
389,Michelia CHAMPACA L.,Michelia CHAMPACA,PASS,339,0,339
390,Meyna SPINOSA Roxb. ex. Link.,Meyna SPINOSA,ZERO_RESULTS,0,0,0
391,Mesua NAGESSARIUM (Burm.) Kost. (),Mesua NAGESSARIUM,ZERO_RESULTS,0,0,0
392,Merremia VITIFOLIA (Burm. f.) Hallier f.,Merremia VITIFOLIA,ZERO_RESULTS,0,0,0
393,Mentha ARVENSIS L.,Mentha ARVENSIS,ZERO_RESULTS,0,0,0
394,Memecylon UMBELLATUM Burm.,Memecylon UMBELLATUM,ZERO_RESULTS,0,0,0
395,Melothria HETEROPHYLLA Cogn.,Melothria HETEROPHYLLA,ZERO_RESULTS,0,0,0
396,Melochia CORCHORIFOLIA L.,Melochia CORCHORIFOLIA,PASS,32,32,0
397,Melilotus ALBA Lamk.,Melilotus ALBA,ZERO_RESULTS,0,0,0
398,Melia SEMPERVIRENS (L.) All.,Melia SEMPERVIRENS,ZERO_RESULTS,0,0,0
399,Melastoma MALABATHRICUM L.,Melastoma MALABATHRICUM,ZERO_RESULTS,0,0,0
400,Martynia ANNUA (Hous.) L.,Martynia ANNUA,ZERO_RESULTS,0,0,0
401,Marsdenia TINCTORA (L.) R. Br.,Marsdenia TINCTORA,ZERO_RESULTS,0,0,0
402,Maranta ARUNDINACEA L.,Maranta ARUNDINACEA,PASS,15,10,5
403,Manilkara ZAPOTA (L.) Royen.,Manilkara ZAPOTA,ZERO_RESULTS,0,0,0
404,Manilkara HEXANDRA (Roxb.) Dub.,Manilkara HEXANDRA,ZERO_RESULTS,0,0,0
405,Manihot ESCULENTA Crantz.,Manihot ESCULENTA,PASS,93,93,0
406,Mangifera laurina Blume.,Mangifera laurina,ZERO_RESULTS,0,0,0
407,Mangifera INDICA L.,Mangifera INDICA,PASS,577,576,1
408,Mallotus ROXBURGHIANUS Muel-Arg.,Mallotus ROXBURGHIANUS,ZERO_RESULTS,0,0,0
409,Mallotus PHILIPPINENSIS Muell-Arg.,Mallotus PHILIPPINENSIS,ZERO_RESULTS,0,0,0
410,Maesa INDICA Wall.,Maesa INDICA,PASS,66,65,1
411,Maesa ACUMINATA DC.,Maesa ACUMINATA,ZERO_RESULTS,0,0,0
412,Madhuca longifolia VAR. LATIFOLIA (Roxb.) A.Chev.,Madhuca longifolia var. LATIFOLIA,ZERO_RESULTS,0,0,0
413,Macrotyloma uniflorum (Lam.) Verde.,Macrotyloma uniflorum,ZERO_RESULTS,0,0,0
414,Macrosolen COCHINCHINENSIS (Lour.) Van Teigh.,Macrosolen COCHINCHINENSIS,ZERO_RESULTS,0,0,0
415,Macaranga DENTICULATA Muell.-Arg.,Macaranga DENTICULATA,ZERO_RESULTS,0,0,0
416,Lygodium MICROPHYLLUM (Cau.) R. Br.,Lygodium MICROPHYLLUM,ZERO_RESULTS,0,0,0
417,Lygodium JAPONICUM (Thunb.) Sw.,Lygodium JAPONICUM,ZERO_RESULTS,0,0,0
418,Lygodium FLEXUOSUM Sw.,Lygodium FLEXUOSUM,PASS,12,12,0
419,Lygodium CIRCINATUM (Burm.) Sw.,Lygodium CIRCINATUM,ZERO_RESULTS,0,0,0
420,Lycopersicon LYCOPERSICUM (L.) Karsten,Lycopersicon LYCOPERSICUM,ZERO_RESULTS,0,0,0
421,Luvunga SCANDENS Buch.-Ham.,Luvunga SCANDENS,ZERO_RESULTS,0,0,0
422,Luffa CYLINDRICA (L.) Roem.,Luffa CYLINDRICA,ZERO_RESULTS,0,0,0
423,Luffa ACUTANGULA (L.) Roxb.,Luffa ACUTANGULA,PASS,83,83,0
424,Ludwigia ADSCENDENS (L.) Hara.,Ludwigia ADSCENDENS,ZERO_RESULTS,0,0,0
425,Litsea MONOPETALA (Roxb.) Pers.,Litsea MONOPETALA,PASS,35,28,7
426,Litsea LANCIFOLIA (Roxb.ex Nees) Fern.-Vill,Litsea LANCIFOLIA,ZERO_RESULTS,0,0,0
427,Litsea GLUTIONSA (Lour.) Rob.,Litsea GLUTIONSA,ZERO_RESULTS,0,0,0
428,Litchi CHINESIS Sonn.,Litchi CHINESIS,ZERO_RESULTS,0,0,0
429,Linum USITATISSIMUM L.,Linum USITATISSIMUM,ZERO_RESULTS,0,0,0
430,Lindenbergia INDICA Vatke,Lindenbergia INDICA,ZERO_RESULTS,0,0,0
431,Limnophila INDICA (L.) Druce.,Limnophila INDICA,ZERO_RESULTS,0,0,0
432,Leucas zeylanica (L.) W.T.Aiton.,Leucas zeylanica,ZERO_RESULTS,0,0,0
433,Leucas LAVANDULIFOLIA Sm.,Leucas LAVANDULIFOLIA,ZERO_RESULTS,0,0,0
434,Leucas CEPHALOTES (Roth.) Spreng.,Leucas CEPHALOTES,ZERO_RESULTS,0,0,0
435,Leucas ASPERA (Willd.) Link.,Leucas ASPERA,PASS,191,190,1
436,Leonurus SIBIRICUS L.,Leonurus SIBIRICUS,ZERO_RESULTS,0,0,0
437,Lens CULINARIS Medik.,Lens CULINARIS,ZERO_RESULTS,0,0,0
438,Leea MACROPHYLLA Roxb.,Leea MACROPHYLLA,ZERO_RESULTS,0,0,0
439,Leea INDICA (Burm. f.) Merr.,Leea INDICA,PASS,52,52,0
440,Leea asiatica (L.) Ridsdale.,Leea asiatica,ZERO_RESULTS,0,0,0
441,Leea AEQUATA L.,Leea AEQUATA,PASS,20,20,0
442,Lawsonia INERMIS L.,Lawsonia INERMIS,PASS,221,169,52
443,Launaea SARMENTOSA (Willd.) Sch.-Bip.,Launaea SARMENTOSA,ZERO_RESULTS,0,0,0
444,Launaea ASPLENIIFOLIA Hook. f.,Launaea ASPLENIIFOLIA,ZERO_RESULTS,0,0,0
445,Lasia SPINOSA (L.) Thw.,Lasia SPINOSA,ZERO_RESULTS,0,0,0
446,Dendrocnide sinuata (Blume) Chew.,Dendrocnide sinuata,ZERO_RESULTS,0,0,0
447,Lantana CAMARA L.,Lantana CAMARA,PASS,201,187,14
448,Lannea COROMANDELICA (Houtt.) Merr.,Lannea COROMANDELICA,ZERO_RESULTS,0,0,0
449,Lagerstroemia speciosa (L.) Pers.,Lagerstroemia speciosa,PASS,115,87,28
450,Lagerstroemia INDICA L.,Lagerstroemia INDICA,ZERO_RESULTS,0,0,0
451,Lageneria SICERARIA (Molina) Standl.,Lageneria SICERARIA,ZERO_RESULTS,0,0,0
452,Lablab PURPUREUS (L.) Sweet.,Lablab PURPUREUS,ZERO_RESULTS,0,0,0
453,Bryophyllum pinnatum (Lam.) Oken.,Bryophyllum pinnatum,ZERO_RESULTS,0,0,0
454,Kaempferia ROTUNDA L.,Kaempferia ROTUNDA,ZERO_RESULTS,0,0,0
455,Kaempferia PARVIFLORA Wall.,Kaempferia PARVIFLORA,ZERO_RESULTS,0,0,0
456,Alpinia sessilis J.Koenig,Alpinia sessilis,ZERO_RESULTS,0,0,0
457,justicia JAPONICA Thunb.,justicia JAPONICA,ZERO_RESULTS,0,0,0
458,Justicia GENDARUSSA Burm.,Justicia GENDARUSSA,PASS,15,15,0
459,Jatropha GOSSYPIFOLIA L.,Jatropha GOSSYPIFOLIA,ZERO_RESULTS,0,0,0
460,. JATROPHA CURCAS L.,JATROPHA CURCAS,ZERO_RESULTS,0,0,0
461,Jasminum SCANDENS Vahl.,Jasminum SCANDENS,ZERO_RESULTS,0,0,0
462,Jasminum SAMBAC (L.) Ait.,Jasminum SAMBAC,PASS,213,213,0
463,Jasminum ANGUSTIFOLIUM Vahl.,Jasminum ANGUSTIFOLIUM,ZERO_RESULTS,0,0,0
464,Ixora NIGRICANS R. Br. ex Wight & Arn.,Ixora NIGRICANS,PASS,6,0,6
465,Ixora CUNEIFOLIA Roxb.,Ixora CUNEIFOLIA,PASS,4,4,0
466,Ixora COCCINEA L.,Ixora COCCINEA,ZERO_RESULTS,0,0,0
467,Ixora pavetta Andr.,Ixora pavetta,ZERO_RESULTS,0,0,0
468,Isodon LOPHANTHOIDES (Buch.-Ham. ex D. Don.) Hara,Isodon LOPHANTHOIDES,ZERO_RESULTS,0,0,0
469,ipomoea QUAMOCLIT L.,ipomoea QUAMOCLIT,ZERO_RESULTS,0,0,0
470,Ipomoea PES -TIGRIDIS L.,Ipomoea PES,ZERO_RESULTS,0,0,0
471,Ipomoea PES-CAPRAE (L.) R.Br.,Ipomoea PES-CAPRAE,ZERO_RESULTS,0,0,0
472,Ipomoea OBSCURA Ker-Gawl.,Ipomoea OBSCURA,ZERO_RESULTS,0,0,0
473,Ipomoea MAXIMA (L.f.) Don. ex. Sweef.,Ipomoea MAXIMA,ZERO_RESULTS,0,0,0
474,Ipomoea MAURITIANA Jacq.,Ipomoea MAURITIANA,ZERO_RESULTS,0,0,0
475,Ipomoea BATATUS (L.) Lamk.,Ipomoea BATATUS,ZERO_RESULTS,0,0,0
476,Ipomoea AQUATICA Forsk.,Ipomoea AQUATICA,ZERO_RESULTS,0,0,0
477,Ipomoea ALBA L.,Ipomoea ALBA,ZERO_RESULTS,0,0,0
478,Indigofera TINCTORIA L.,Indigofera TINCTORIA,ZERO_RESULTS,0,0,0
479,Imperata CYLINDRICA Rausch.,Imperata CYLINDRICA,ZERO_RESULTS,0,0,0
480,Impatiens BALSAMINA L.,Impatiens BALSAMINA,ZERO_RESULTS,0,0,0
481,Ichnocarpus FRUTESCENS (L.) R. Br.,Ichnocarpus FRUTESCENS,ZERO_RESULTS,0,0,0
482,Hyptis SUAVEOLENS (L.) Poit.,Hyptis SUAVEOLENS,ZERO_RESULTS,0,0,0
483,Hypericum JAPONICUM Thunb.,Hypericum JAPONICUM,ZERO_RESULTS,0,0,0
484,Hymenodictyon ORIXENSIS (Roxb.) Mabberly,Hymenodictyon ORIXENSIS,ZERO_RESULTS,0,0,0
485,Hygroryza ARISTATA (Retz.) Nees.,Hygroryza ARISTATA,ZERO_RESULTS,0,0,0
486,Hygrophila AURICULATA (Schum.) Heyne.,Hygrophila AURICULATA,ZERO_RESULTS,0,0,0
487,Hydrolea ZEYLANICA Vahl.,Hydrolea ZEYLANICA,PASS,19,19,0
488,Hydnocarpus KURZII (King.) Warb.,Hydnocarpus KURZII,ZERO_RESULTS,0,0,0
489,Hybanthus ENNEASPERMUS (L.) F. Muell.,Hybanthus ENNEASPERMUS,ZERO_RESULTS,0,0,0
490,Hoya PARASITICA Wall.,Hoya PARASITICA,ZERO_RESULTS,0,0,0
491,Hopea ODORATA Roxb.,Hopea ODORATA,PASS,15,13,2
492,Homalomena aromatica (Spreng.) Schott.,Homalomena aromatica,PASS,93,93,0
493,Holarrhena PUBESCENCE (Buch.-Ham.) Wall.,Holarrhena PUBESCENCE,ZERO_RESULTS,0,0,0
494,Hiptage BENGHALENSIS (L.) Kurz.,Hiptage BENGHALENSIS,ZERO_RESULTS,0,0,0
495,Hibiscus TILLIACEUS L.,Hibiscus TILLIACEUS,ZERO_RESULTS,0,0,0
496,Hibiscus SURATTENSIS L.,Hibiscus SURATTENSIS,PASS,85,85,0
497,Hibiscus SABDARIFFA L.,Hibiscus SABDARIFFA,PASS,656,656,0
498,Hibiscus ROSA-SINENSIS L.,Hibiscus ROSA-SINENSIS,PASS,163,146,17
499,Hibiscus MUTABILIS L.,Hibiscus MUTABILIS,PASS,76,76,0
500,Hibiscus CANABINUS L.,Hibiscus CANABINUS,ZERO_RESULTS,0,0,0
501,Schefflera hypoleuca (Kurz) Harms.,Schefflera hypoleuca,ZERO_RESULTS,0,0,0
502,Hemigraphis HIRTA (Vahl.) And.,Hemigraphis HIRTA,ZERO_RESULTS,0,0,0
503,Hemidesmus INDICUS (L.) R. Br.,Hemidesmus INDICUS,PASS,58,58,0
504,Helminthostachys ZEYLANICA L.,Helminthostachys ZEYLANICA,PASS,11,11,0
505,Heliotropium INDICUM L.,Heliotropium INDICUM,PASS,183,166,17
506,Helicteres ISORA L.,Helicteres ISORA,ZERO_RESULTS,0,0,0
507,Helianthus ANNUS L.,Helianthus ANNUS,ZERO_RESULTS,0,0,0
508,Hedyotis SCANDENS Roxb.,Hedyotis SCANDENS,PASS,34,34,0
509,Oldenlandia diffusa (Willd.) Roxb.,Oldenlandia diffusa,ZERO_RESULTS,0,0,0
510,Oldenlandia corymbosa L.,Oldenlandia corymbosa,ZERO_RESULTS,0,0,0
511,Hedychium CORONARIUM Koenig,Hedychium CORONARIUM,ZERO_RESULTS,0,0,0
512,Peristylus constrictus (Lindl.) Lindl.,Peristylus constrictus,ZERO_RESULTS,0,0,0
513,Gynocardia ORORATA R. Br.,Gynocardia ORORATA,ZERO_RESULTS,0,0,0
514,Gymnopetalum chinense (Lour.) Merr.,Gymnopetalum chinense,ZERO_RESULTS,0,0,0
515,Grewia asiatica L.,Grewia asiatica,PASS,102,89,13
516,Grewia SCLEROPHYLLA Roxb. ex Don.,Grewia SCLEROPHYLLA,ZERO_RESULTS,0,0,0
517,Grewia nervosa (Lour.) Panigrahi.,Grewia nervosa,ZERO_RESULTS,0,0,0
518,Grangea MADERESPATANA (L.) Poir.,Grangea MADERESPATANA,ZERO_RESULTS,0,0,0
519,Gossypium HERBACIUM L.,Gossypium HERBACIUM,ZERO_RESULTS,0,0,0
520,Gomphrena GLOBOSA L.,Gomphrena GLOBOSA,ZERO_RESULTS,0,0,0
521,Gnetum MONTANUM Markgraf,Gnetum MONTANUM,ZERO_RESULTS,0,0,0
522,Laphangium luteoalbum (L.) Tzvelev.,Laphangium luteoalbum,ZERO_RESULTS,0,0,0
523,Glycosmis PENTAPHYLLA (Retz.) A. DC.,Glycosmis PENTAPHYLLA,PASS,93,89,4
524,Gmelina ARBOREA L.,Gmelina ARBOREA,ZERO_RESULTS,0,0,0
525,Gloriosa SUPERBA L.,Gloriosa SUPERBA,PASS,169,169,0
526,Glochidion LANCEOLARIUM (Roxb.) Dalz.,Glochidion LANCEOLARIUM,ZERO_RESULTS,0,0,0
527,Glinus OPPOSITIFOLIUS (L.) A. DC.,Glinus OPPOSITIFOLIUS,ZERO_RESULTS,0,0,0
528,Garuga PINNATA Roxb.,Garuga PINNATA,ZERO_RESULTS,0,0,0
529,Gardenia RESINIFERA Roth.,Gardenia RESINIFERA,ZERO_RESULTS,0,0,0
530,Gardenia JASMINOIDES Ellis.,Gardenia JASMINOIDES,ZERO_RESULTS,0,0,0
531,Gardenia CORONARIA Ham.,Gardenia CORONARIA,ZERO_RESULTS,0,0,0
532,Ceriscoides campanulata (Roxb.) Tirveng,Ceriscoides campanulata,ZERO_RESULTS,0,0,0
533,Garcinia XANTHOCHYMUS Hook. f.,Garcinia XANTHOCHYMUS,ZERO_RESULTS,0,0,0
534,Garcinia COWA Roxb.,Garcinia COWA,ZERO_RESULTS,0,0,0
535,Foeniculum VULGARE Mill.,Foeniculum VULGARE,ZERO_RESULTS,0,0,0
536,Floscopa SCANDENS Lour.,Floscopa SCANDENS,ZERO_RESULTS,0,0,0
537,Flemingia STROBILIFERA R.Br.,Flemingia STROBILIFERA,ZERO_RESULTS,0,0,0
538,Flemingia MACROPHYLLA (Willd.) O.Ktze. ex Merr.,Flemingia MACROPHYLLA,ZERO_RESULTS,0,0,0
539,Flacourtia JANGOMAS (Lour.) Raeus.,Flacourtia JANGOMAS,PASS,49,45,4
540,Flacourtia INDICA (Burm.f.) Merr.,Flacourtia INDICA,ZERO_RESULTS,0,0,0
541,Firmiana COLORATA R. Br.,Firmiana COLORATA,ZERO_RESULTS,0,0,0
542,Ficus SEMICORDATA Buch.-Ham. ex Smith.,Ficus SEMICORDATA,ZERO_RESULTS,0,0,0
543,Ficus RELIGIOSA L.,Ficus RELIGIOSA,ZERO_RESULTS,0,0,0
544,Ficus RACEMOSA L.,Ficus RACEMOSA,ZERO_RESULTS,0,0,0
545,Ficus HISPIDA L. f.,Ficus HISPIDA,PASS,83,82,1
546,Ficus BENJAMINA L. var. comosa (Roxb.) Kurz.,Ficus BENJAMINA var. comosa,ZERO_RESULTS,0,0,0
547,Ficus BENGHALENSIS L.,Ficus BENGHALENSIS,ZERO_RESULTS,0,0,0
548,Feronia LIMONIA (L.) Sw.,Feronia LIMONIA,ZERO_RESULTS,0,0,0
549,Shirakiopsis indica (Willd.) Esser,Shirakiopsis indica,ZERO_RESULTS,0,0,0
550,Excoecaria AGALLOCHA L.,Excoecaria AGALLOCHA,ZERO_RESULTS,0,0,0
551,Euryale FEROX Salisb.,Euryale FEROX,ZERO_RESULTS,0,0,0
552,Eurya ACUMINATA DC.,Eurya ACUMINATA,ZERO_RESULTS,0,0,0
553,Euphorbia TIRUCALLI L.,Euphorbia TIRUCALLI,ZERO_RESULTS,0,0,0
554,Euphorbia THYMIFOLIA Burm. f.,Euphorbia THYMIFOLIA,ZERO_RESULTS,0,0,0
555,Euphorbia HIRTA L.,Euphorbia HIRTA,ZERO_RESULTS,0,0,0
556,Euphorbia ANTIQUORUM L.,Euphorbia ANTIQUORUM,ZERO_RESULTS,0,0,0
557,Ayapana triplinervis (Vahl) R.M.King & H.Rob.,Ayapana triplinervis,ZERO_RESULTS,0,0,0
558,Eupatorium ODORATUM L.,Eupatorium ODORATUM,ZERO_RESULTS,0,0,0
559,Graphorchis campestris (Wall.) Kuntze,Graphorchis campestris,ZERO_RESULTS,0,0,0
560,Etlingera LINGUIFORMIS (Roxb.) R.M. Smith,Etlingera LINGUIFORMIS,ZERO_RESULTS,0,0,0
561,Erythrina VARIEGATA L. var. orientalis (L.) Merr.,Erythrina VARIEGATA var. orientalis,ZERO_RESULTS,0,0,0
562,Hippochaete debilis (Roxb. ex Vaucher) Ching.,Hippochaete debilis,ZERO_RESULTS,0,0,0
563,Entada rheedii Spreng.,Entada rheedii,PASS,57,35,22
564,Cissampelos PAREIRA L. Var. hirsuta (Buch. ex Dc.) Forman,Cissampelos PAREIRA var. hirsuta,ZERO_RESULTS,0,0,0
565,Cissus ADNATA Roxb.,Cissus ADNATA,PASS,3,3,0
566,Enhydra FLUCTUANS Lour.,Enhydra FLUCTUANS,ZERO_RESULTS,0,0,0
567,Emilia SONCHIFOLIA DC. ex DC.,Emilia SONCHIFOLIA,ZERO_RESULTS,0,0,0
568,Embelia RIBES Burm. f.,Embelia RIBES,PASS,6,5,1
569,Elsholtzia stachyodes (Link) Raizada & H.O.Saxena,Elsholtzia stachyodes,ZERO_RESULTS,0,0,0
570,Eleusine INDICA (L.) Gaertn.,Eleusine INDICA,PASS,7,7,0
571,Elephantopus SCABER L.,Elephantopus SCABER,PASS,22,20,2
572,Elaeocarpus SPHAERICUS (Gaertn.) K. Schum.,Elaeocarpus SPHAERICUS,ZERO_RESULTS,0,0,0
573,Elaeocarpus FLORIBUNDUS Blume.,Elaeocarpus FLORIBUNDUS,ZERO_RESULTS,0,0,0
574,Eichhornia CRASSIPES (Mart.) Solms.,Eichhornia CRASSIPES,ZERO_RESULTS,0,0,0
575,Ecbolium VIRIDE (Forsk.) Alst.,Ecbolium VIRIDE,ZERO_RESULTS,0,0,0
576,Dysoxylum HAMILTONII Hiern.,Dysoxylum HAMILTONII,ZERO_RESULTS,0,0,0
577,Pogostemon auricularius (L.) Hassk.,Pogostemon auricularius,PASS,1,0,1
578,Putranjiva roxburghii Wall.,Putranjiva roxburghii,ZERO_RESULTS,0,0,0
579,Drynaria QUERCIFOLIA (L.) J. Sm.,Drynaria QUERCIFOLIA,PASS,90,90,0
580,Drosera BURMANII Vahl.,Drosera BURMANII,ZERO_RESULTS,0,0,0
581,Dodonaea VISCOSA (L.) Jacq.,Dodonaea VISCOSA,ZERO_RESULTS,0,0,0
582,Dipterocarpus TURBINATUS C.F Gaertn.,Dipterocarpus TURBINATUS,ZERO_RESULTS,0,0,0
583,Dipterocarpus GRACILIS Bl.,Dipterocarpus GRACILIS,ZERO_RESULTS,0,0,0
584,Dipterocarpus ALATUS Roxb. ex G. Don.,Dipterocarpus ALATUS,ZERO_RESULTS,0,0,0
585,Diploclisia GLAUCESCENS (Bl.) Diels.,Diploclisia GLAUCESCENS,PASS,19,19,0
586,Diospyros MONTANA Roxb. Var. CORDIFOLIA (Roxb.) Heirn.,Diospyros MONTANA var. CORDIFOLIA,ZERO_RESULTS,0,0,0
587,Diospyros MALABARICA (Desr.) Kostel,Diospyros MALABARICA,PASS,34,33,1
588,Diosocorea PENTAPHYLLA L.,Diosocorea PENTAPHYLLA,ZERO_RESULTS,0,0,0
589,Dioscorea HISPIDA Dennstedt,Dioscorea HISPIDA,ZERO_RESULTS,0,0,0
590,Dioscorea HAMILTONII Hook. f.,Dioscorea HAMILTONII,ZERO_RESULTS,0,0,0
591,Dioscorea BULBIFERA L.,Dioscorea BULBIFERA,ZERO_RESULTS,0,0,0
592,Dioscorea BELOPHYLLA (Prain) Haines,Dioscorea BELOPHYLLA,ZERO_RESULTS,0,0,0
593,Dioscorea ALATA L.,Dioscorea ALATA,ZERO_RESULTS,0,0,0
594,Dimocarpus LONGAN Lamk.,Dimocarpus LONGAN,ZERO_RESULTS,0,0,0
595,Dillenia PENTAGYNA Roxb.,Dillenia PENTAGYNA,ZERO_RESULTS,0,0,0
596,Dillenia INDICA L.,Dillenia INDICA,PASS,32,32,0
597,Digera ALTERNIFOLIA Asch.,Digera ALTERNIFOLIA,ZERO_RESULTS,0,0,0
598,Desmodium TRIFLORUM (L.) DC.,Desmodium TRIFLORUM,ZERO_RESULTS,0,0,0
599,Desmodium styracifolium (Osbeck) Merr.,Desmodium styracifolium,ZERO_RESULTS,0,0,0
600,Phyllodium PULCHELLUM (L.) Desv.,Phyllodium PULCHELLUM,ZERO_RESULTS,0,0,0
601,Desmodium HETEROCARPON (L.) A. DC.,Desmodium HETEROCARPON,ZERO_RESULTS,0,0,0
602,Desmodium GANGETICUM (L.) DC.,Desmodium GANGETICUM,PASS,128,0,128
603,Derris TRIFOLIATA Lour.,Derris TRIFOLIATA,PASS,51,0,51
604,Derris ROBUSTA Benth.,Derris ROBUSTA,ZERO_RESULTS,0,0,0
605,Derris INDICA (Lamk.) Bennet.,Derris INDICA,ZERO_RESULTS,0,0,0
606,Derris ELLIPTICA Benth.,Derris ELLIPTICA,ZERO_RESULTS,0,0,0
607,Dendrophthoe FALCATA (L. f.) Ett.,Dendrophthoe FALCATA,ZERO_RESULTS,0,0,0
608,Dendrocalamus STRICTUS (Roxb.) Nees.,Dendrocalamus STRICTUS,ZERO_RESULTS,0,0,0
609,Daucus CAROTA L.,Daucus CAROTA,ZERO_RESULTS,0,0,0
610,Datura METEL L.,Datura METEL,ZERO_RESULTS,0,0,0
611,Dalbergia VOLUBILIS Roxb.,Dalbergia VOLUBILIS,ZERO_RESULTS,0,0,0
612,Dalbergia STIPULACEA Roxb.,Dalbergia STIPULACEA,PASS,16,12,4
613,Dalbergia SPINOSA Roxb.,Dalbergia SPINOSA,ZERO_RESULTS,0,0,0
614,Dalbergia SISSOO Roxb.,Dalbergia SISSOO,ZERO_RESULTS,0,0,0
615,Dalbergia LATIFOLIA Roxb.,Dalbergia LATIFOLIA,ZERO_RESULTS,0,0,0
616,Dalbergia LANCEOLARIA L.,Dalbergia LANCEOLARIA,ZERO_RESULTS,0,0,0
617,Dactyloctenium AEGYPTIUM (L.) Beauv.,Dactyloctenium AEGYPTIUM,ZERO_RESULTS,0,0,0
618,Cyperus SCARIOSUS Br.,Cyperus SCARIOSUS,ZERO_RESULTS,0,0,0
619,Cyperus ROTUNDUS L.,Cyperus ROTUNDUS,PASS,578,578,0
620,Cyperus IRIA L.,Cyperus IRIA,ZERO_RESULTS,0,0,0
621,Cyperus ARTICULATUS L.,Cyperus ARTICULATUS,ZERO_RESULTS,0,0,0
622,Cynometra RAMIFLORA L.,Cynometra RAMIFLORA,ZERO_RESULTS,0,0,0
623,Cynodon DACTYLON (L.)Pers.,Cynodon DACTYLON,PASS,48,44,4
624,Cymbopogon CITRATUS (DC.) Stapf.,Cymbopogon CITRATUS,PASS,254,254,0
625,Cymbidium ALOIFOLIUM (L.) Sw.,Cymbidium ALOIFOLIUM,PASS,12,10,2
626,Cuscuta REFLEXA Roxb.,Cuscuta REFLEXA,PASS,38,29,9
627,Cuscuta HYALINA Roth.,Cuscuta HYALINA,ZERO_RESULTS,0,0,0
628,Curcuma ZEDOARIA Rosc.,Curcuma ZEDOARIA,PASS,207,186,21
629,Curcuma LONGA L.,Curcuma LONGA,PASS,269,269,0
630,Curcuma CAESIA Roxb.,Curcuma CAESIA,PASS,69,51,18
631,Curcuma AROMATICA Salisb.,Curcuma AROMATICA,ZERO_RESULTS,0,0,0
632,Curcuma ANGUSTIFOLIA Roxb.,Curcuma ANGUSTIFOLIA,PASS,415,380,35
633,Curcuma AMADA Roxb.,Curcuma AMADA,ZERO_RESULTS,0,0,0
634,Curculigo ORCHIOIDES Gaertn.,Curculigo ORCHIOIDES,ZERO_RESULTS,0,0,0
635,Cuminum CYMINUM L.,Cuminum CYMINUM,PASS,225,224,1
636,Cullen CORYLIFOLIA (L.) Medic.,Cullen CORYLIFOLIA,ZERO_RESULTS,0,0,0
637,Cucurbita MAXIMA Duch.,Cucurbita MAXIMA,PASS,66,45,21
638,Cucumis SATIVUS L.,Cucumis SATIVUS,ZERO_RESULTS,0,0,0
639,Cucumis MELO L.,Cucumis MELO,ZERO_RESULTS,0,0,0
640,Cryptolepis dubia (Burm.f.) M.R.Almeida,Cryptolepis dubia,ZERO_RESULTS,0,0,0
641,Cryptocoryne spiralis (Retz.) Fisch. ex Wydler,Cryptocoryne spiralis,ZERO_RESULTS,0,0,0
642,Croton TIGLIUM L.,Croton TIGLIUM,ZERO_RESULTS,0,0,0
643,croton PERSIMILIS Müll.Arg.,croton PERSIMILIS,ZERO_RESULTS,0,0,0
644,Croton CAUDATUS Geisel.,Croton CAUDATUS,PASS,14,10,4
645,Croton BONPLANDIANUM Baill.,Croton BONPLANDIANUM,ZERO_RESULTS,0,0,0
646,Crotalaria VERRUCOSA L.,Crotalaria VERRUCOSA,ZERO_RESULTS,0,0,0
647,Crotalaria SPECTABILIS Roth.,Crotalaria SPECTABILIS,ZERO_RESULTS,0,0,0
648,Crotalaria RETUSA L.,Crotalaria RETUSA,ZERO_RESULTS,0,0,0
649,Crotalaria PROSTRATA Roxb.,Crotalaria PROSTRATA,ZERO_RESULTS,0,0,0
650,Crotalaria PALLIDA Ait.,Crotalaria PALLIDA,PASS,14,10,4
651,Crotalaria JUNCEA L.,Crotalaria JUNCEA,ZERO_RESULTS,0,0,0
652,Crotalaria CALYCINA Schrank,Crotalaria CALYCINA,ZERO_RESULTS,0,0,0
653,Crotalaria ALBIDA Heyne ex Roth.,Crotalaria ALBIDA,ZERO_RESULTS,0,0,0
654,crotalaria ALATA D.Don,crotalaria ALATA,ZERO_RESULTS,0,0,0
655,Crossandra INFUNDIBULIFORMIS (L.) Nees.,Crossandra INFUNDIBULIFORMIS,ZERO_RESULTS,0,0,0
656,Crinum viviparum (Lam.) R.Ansari & V.J.Nair,Crinum viviparum,ZERO_RESULTS,0,0,0
657,Crinum ASIATICUM L.,Crinum ASIATICUM,PASS,32,26,6
