plant_index,source_query,bmpdd_query_name,parser_status,rows_extracted,rows_with_cid,rows_missing_cid
180,Trapa natans var. bispinosa (Roxb.) Makino,Trapa natans var. bispinosa,ZERO_RESULTS,0,0,0
181,Tragia INVOLUCRATA L.,Tragia INVOLUCRATA,ZERO_RESULTS,0,0,0
182,Torenia ASIATICA L.,Torenia ASIATICA,ZERO_RESULTS,0,0,0
183,Toona CILIATA J. Roem.,Toona CILIATA,ZERO_RESULTS,0,0,0
184,Toddalia ASIATICA (L.) Lam.,Toddalia ASIATICA,ZERO_RESULTS,0,0,0
185,Tinospora CRISPA Miers.,Tinospora CRISPA,ZERO_RESULTS,0,0,0
186,Tinospora sinensis (Lour.) Merr.,Tinospora sinensis,ZERO_RESULTS,0,0,0
187,Tiliacora racemosa Colebr.,Tiliacora racemosa,ZERO_RESULTS,0,0,0
188,Thunbergia GRANDIFLORA (Roxb. ex Rottl.) Roxb.,Thunbergia GRANDIFLORA,ZERO_RESULTS,0,0,0
189,Cascabela thevetia (L.) Lippold.,Cascabela thevetia,ZERO_RESULTS,0,0,0
190,Thespesia POPULNEA (L.) Sol. ex Corr.,Thespesia POPULNEA,ZERO_RESULTS,0,0,0
191,Terminalia CITRINA Flaming.,Terminalia CITRINA,PASS,2,0,2
192,Terminalia CHEBULA Retz.,Terminalia CHEBULA,PASS,413,365,48
193,Terminalia CATAPPA L.,Terminalia CATAPPA,ZERO_RESULTS,0,0,0
194,Terminalia BILLIRICA (Gaertn.)Roxb.,Terminalia BILLIRICA,ZERO_RESULTS,0,0,0
195,Terminalia ARJUNA (Roxb. ex DC.) Wight & Arn.,Terminalia ARJUNA,PASS,314,287,27
196,Tephrosia PURPUREA (L.) Pers.,Tephrosia PURPUREA,PASS,58,0,58
197,Tectona grandis L.f.,Tectona grandis,ZERO_RESULTS,0,0,0
198,Tamarix INDICA Willd.,Tamarix INDICA,ZERO_RESULTS,0,0,0
199,Tamarix DIOICA Roxb. ex Roth.,Tamarix DIOICA,ZERO_RESULTS,0,0,0
200,Tamarindus INDICA L.,Tamarindus INDICA,PASS,322,293,29
201,Tagetes ERECTA L.,Tagetes ERECTA,ZERO_RESULTS,0,0,0
202,Tacca INTEGRIFOLIA Ker.-Gawl.,Tacca INTEGRIFOLIA,PASS,5,0,5
203,Tabernaemontana DIVARICATA (L.) R.Br. ex Roem. & Schult.,Tabernaemontana DIVARICATA,PASS,61,0,61
204,Syzygium nervosum A.Cunn. ex DC.,Syzygium nervosum,ZERO_RESULTS,0,0,0
205,Syzygium JAMBOS (L.) Alston.,Syzygium JAMBOS,ZERO_RESULTS,0,0,0
206,Syzygium FRUTICOSUM DC.,Syzygium FRUTICOSUM,ZERO_RESULTS,0,0,0
207,Syzygium CUMINI (L.) Skeel.,Syzygium CUMINI,PASS,282,164,118
208,Symplocos RACEMOSA Roxb.,Symplocos RACEMOSA,ZERO_RESULTS,0,0,0
209,Suregada MULTIFLORA (A. Juss.) Baill.,Suregada MULTIFLORA,PASS,9,0,9
210,Strychnos NUX-VOMICA L.,Strychnos NUX-VOMICA,ZERO_RESULTS,0,0,0
211,Strobilanthes AURICULATUS Nees.,Strobilanthes AURICULATUS,ZERO_RESULTS,0,0,0
212,Striga asiatica (L.) Kuntze.,Striga asiatica,ZERO_RESULTS,0,0,0
213,Streblus ASPER Lour.,Streblus ASPER,PASS,23,0,23
214,Stereospermum chelonoides (L.f.) DC.,Stereospermum chelonoides,ZERO_RESULTS,0,0,0
215,Stereospermum tetragonum DC.,Stereospermum tetragonum,ZERO_RESULTS,0,0,0
216,Sterculia VILLOSA Roxb.,Sterculia VILLOSA,PASS,5,0,5
217,Sterculia FOETIDA L.,Sterculia FOETIDA,ZERO_RESULTS,0,0,0
218,Stephania JAPONICA (Thunb.) Miers.,Stephania JAPONICA,PASS,25,0,25
219,Stephania GLABRA (Roxb.) Miers.,Stephania GLABRA,PASS,22,0,22
220,Stachytarpheta INDICA Vahl.,Stachytarpheta INDICA,ZERO_RESULTS,0,0,0
221,Spondias PINNATA (L.f.) Kurz.,Spondias PINNATA,PASS,14,0,14
222,Spinacia OLERACEA L.,Spinacia OLERACEA,ZERO_RESULTS,0,0,0
223,Acmella paniculata (Wall. ex DC.) R.K.Jansen.,Acmella paniculata,ZERO_RESULTS,0,0,0
224,Sphaeranthus INDICUS L.,Sphaeranthus INDICUS,ZERO_RESULTS,0,0,0
225,Sonneratia CASEOLARIS (L.) Engl.,Sonneratia CASEOLARIS,ZERO_RESULTS,0,0,0
226,Sonchus WIGHTIANUS DC.,Sonchus WIGHTIANUS,ZERO_RESULTS,0,0,0
227,Solanum VIRGINIANUM L.,Solanum VIRGINIANUM,ZERO_RESULTS,0,0,0
228,Solanum VIOLACEUM Ortega,Solanum VIOLACEUM,ZERO_RESULTS,0,0,0
229,Solanum TORVUM Swartz.,Solanum TORVUM,PASS,37,0,37
230,Solanum SISYMBRIFOLIUM Lamk.,Solanum SISYMBRIFOLIUM,ZERO_RESULTS,0,0,0
231,Solanum americanum Mill.,Solanum americanum,ZERO_RESULTS,0,0,0
232,Solanum MELONGENA L.,Solanum MELONGENA,PASS,101,0,101
233,Solanum ERIANTHUM D. Don.,Solanum ERIANTHUM,ZERO_RESULTS,0,0,0
234,Smilax ZEYLANICA L.,Smilax ZEYLANICA,ZERO_RESULTS,0,0,0
235,Smilax PERFOLIATA Lour.,Smilax PERFOLIATA,ZERO_RESULTS,0,0,0
236,Smilax GLABRA Roxb.,Smilax GLABRA,ZERO_RESULTS,0,0,0
237,Sida ORIENTALIS Cav.,Sida ORIENTALIS,ZERO_RESULTS,0,0,0
238,Sida CORDIFOLIA L.,Sida CORDIFOLIA,ZERO_RESULTS,0,0,0
239,Sida CORDATA (Burm. f. ) Borssum.,Sida CORDATA,ZERO_RESULTS,0,0,0
240,Sida ACUTA Burm. f.,Sida ACUTA,PASS,26,0,26
241,Shorea ROBUSTA Gaertn.,Shorea ROBUSTA,ZERO_RESULTS,0,0,0
242,Setaria ITALICA (L.) Beauv.,Setaria ITALICA,ZERO_RESULTS,0,0,0
243,Seseli DIFFUSUM (Roxb.ex Sm.)Sant. & Wagh.,Seseli DIFFUSUM,ZERO_RESULTS,0,0,0
244,Sesbania SESBAN (L.) Merr.,Sesbania SESBAN,ZERO_RESULTS,0,0,0
245,Sesbania GRANDIFLORA Pers.,Sesbania GRANDIFLORA,ZERO_RESULTS,0,0,0
246,Sesbania ACULEATA Pers.,Sesbania ACULEATA,ZERO_RESULTS,0,0,0
247,Sesamum INDICUM L.,Sesamum INDICUM,PASS,74,0,74
248,Semecarpus ANACARDIUM L.f.,Semecarpus ANACARDIUM,ZERO_RESULTS,0,0,0
249,Scoparia DULCIS L.,Scoparia DULCIS,ZERO_RESULTS,0,0,0
250,Scindapsus OFFICINALIS (Roxb.) Schott.,Scindapsus OFFICINALIS,ZERO_RESULTS,0,0,0
251,Schoenoplectus ARTICULATUS (L.) Palla,Schoenoplectus ARTICULATUS,ZERO_RESULTS,0,0,0
252,Schoenoplectus GROSSUS (L.f.) Palla.,Schoenoplectus GROSSUS,ZERO_RESULTS,0,0,0
253,Schleichera OLEOSA (Lour.) Oken,Schleichera OLEOSA,PASS,24,0,24
254,Scaphium WALLICHII Schott. & Endl.,Scaphium WALLICHII,ZERO_RESULTS,0,0,0
255,Saussurea AFFINIS Spreng.,Saussurea AFFINIS,ZERO_RESULTS,0,0,0
256,Sarcochlamys PULCHERRIMA Gaud.,Sarcochlamys PULCHERRIMA,ZERO_RESULTS,0,0,0
257,Saraca ASOCA (Roxb.) De Wilde.,Saraca ASOCA,PASS,30,0,30
258,Sapindus MUKOROSSI Gaertn.,Sapindus MUKOROSSI,ZERO_RESULTS,0,0,0
259,Sansevieria ROXBURGHIANA Schult.,Sansevieria ROXBURGHIANA,ZERO_RESULTS,0,0,0
260,Sambucas JAVANICA Reinw. ex Blume.,Sambucas JAVANICA,ZERO_RESULTS,0,0,0
261,Salvia PLEBEIA R. Br.,Salvia PLEBEIA,ZERO_RESULTS,0,0,0
262,Salix TETRASPERMA Roxb.,Salix TETRASPERMA,ZERO_RESULTS,0,0,0
263,Sagittaria SAGITTIFOLIA L.,Sagittaria SAGITTIFOLIA,ZERO_RESULTS,0,0,0
264,Saccharum SPONTANEUM L.,Saccharum SPONTANEUM,ZERO_RESULTS,0,0,0
265,Saccharum OFFICINARUM L.,Saccharum OFFICINARUM,PASS,72,0,72
