scientific_name,synonym,family,source_page_url,scrape_timestamp
Tamarix DIOICA Roxb. ex Roth.,Tamarix gallica Wight.,Tamaricaeae,https://mpbd.cu.ac.bd/plants.php?pageno=21,2026-09-22T15:53:31.367783+00:00
Tamarindus INDICA L.,Tamarindus occidentalis Gaertn. Tamarindus officinalis Hook. Tamarindus umbrosa Salisb.,Caesalpiniaceae,https://mpbd.cu.ac.bd/plants.php?pageno=21,2026-09-22T15:53:31.367783+00:00
Tagetes ERECTA L.,Tagetes corymbosa Sweet Tagetes heterocarpha Rydb. Tagetes patula L. Tagetes tenuifolia Millsp.,Asteraceae,https://mpbd.cu.ac.bd/plants.php?pageno=21,2026-09-22T15:53:31.367783+00:00
Tacca INTEGRIFOLIA Ker.-Gawl.,Ataccia aspera (Roxb.) Kunth Ataccia cristata (Jack) Kunth Tacca aspera Roxb. Tacca cristata Jack,Taccaceae,https://mpbd.cu.ac.bd/plants.php?pageno=21,2026-09-22T15:53:31.367783+00:00
Tabernaemontana DIVARICATA (L.) R.Br. ex Roem. & Schult.,Ervatamia divaricata (L.) Burkill Jasminum zeylanicum Burm.f. Nerium coronarium Jacq. Reichardia jasminoides Dennst.,Apocynaceae,https://mpbd.cu.ac.bd/plants.php?pageno=21,2026-09-22T15:53:31.367783+00:00
Syzygium nervosum A.Cunn. ex DC.,Syzygium operculatum (Roxb.) Niedz. Calyptranthes mangiferifolia Hance ex Walp. Eugenia cerasoides Roxb. Jambosa nitida Korth. Eugenia operculatum Roxb.,Myrtaceae,https://mpbd.cu.ac.bd/plants.php?pageno=21,2026-09-22T15:53:31.367783+00:00
Syzygium JAMBOS (L.) Alston.,Eugenia jambos L. Jambosa palembanica Blume Myrtus jambos (L.) Kunth Plinia jambos (L.) M.Gómez,Myrtaceae,https://mpbd.cu.ac.bd/plants.php?pageno=21,2026-09-22T15:53:31.367783+00:00
Syzygium FRUTICOSUM DC.,Eugenia fruticosa (DC.) Roxb.,Myrtaceae,https://mpbd.cu.ac.bd/plants.php?pageno=21,2026-09-22T15:53:31.367783+00:00
Syzygium CUMINI (L.) Skeel.,Eugenia cumini L. Calyptranthes cumini (L.) Pers. Eugenia jambolana Lam. Jambolifera chinensis Spreng. Myrtus cumini L.,Myrtaceae,https://mpbd.cu.ac.bd/plants.php?pageno=21,2026-09-22T15:53:31.367783+00:00
Symplocos RACEMOSA Roxb.,Symplocos intermedia Brand Symplocos macrostachya Brand Symplocos propinqua Hance,Symplocaceae,https://mpbd.cu.ac.bd/plants.php?pageno=21,2026-09-22T15:53:31.367783+00:00
