sampled_tier,inchikey_connectivity,bmppd_name,pubchem_title_cid,pubchem_title_name,formula_cid,formula_name,layer_cid,layer_name,plants,my_judgement,notes
HIGH,QAIPRVGONGVQAS,Caffeic Acid | Caffeic acid | caffeic acid,Caffeic Acid,,C9H8O4,,QAIPRVGONGVQAS,QAIPRVGONGVQAS,27 (Moringa oleifera Lam.); 43 (Lagerstroemia speciosa(l.) Pers.); 70 (Citrus reticulata Blanco); 78 (Holarrhena pubescens Wall.ex G.Don); 95 (Abutilon INDICUM (L.) Sweet); 113 (Haldina cordifolia (Roxb.) Ridsdale); 116 (Ageratum CONYZOIDES L.); 124 (Allium SATIVUM L.); 207 (Syzygium CUMINI (L.) Skeel.); 356 (Nigella SATIVA L); 368 (Murraya PANICULATA (L.) Jacq.); 374 (Moringa OLEIFERA Lamk.); 386 (Mimusops ELENGI L.); 396 (Melochia CORCHORIFOLIA L.); 410 (Maesa INDICA Wall.); 423 (Luffa ACUTANGULA (L.) Roxb.); 449 (Lagerstroemia speciosa (L.) Pers.); 491 (Hopea ODORATA Roxb.); 497 (Hibiscus SABDARIFFA L.); 499 (Hibiscus MUTABILIS L.); 515 (Grewia asiatica L.); 525 (Gloriosa SUPERBA L.); 619 (Cyperus ROTUNDUS L.); 624 (Cymbopogon CITRATUS (DC.) Stapf.); 687 (Citrus maxima (Burm.) Merr.); 786 (Caesalpinia BONDUC (L.) Roxb.); 799 (Cannabis SATIVA L.); 819 (Melochia corchorifolia L.); 867 (Carica PAPAYA L.); 872 (Cassia FISTULA L.),,
HIGH,YNQLUTRBYVCPMQ,Ethyl Benzene | Ethylbenzene | ethylbenzene,Ethylbenzene,,C8H10,,YNQLUTRBYVCPMQ,YNQLUTRBYVCPMQ,192 (Terminalia CHEBULA Retz.); 200 (Tamarindus INDICA L.); 356 (Nigella SATIVA L); 407 (Mangifera INDICA L.); 715 (Anacardium OCCIDENTALE L.); 748 (Averrhoa CARAMBOLA L.); 793 (Calotropis GIGANTEA (L.) R. Br.); 867 (Carica PAPAYA L.),,
HIGH,XLSMFKSTNGKWQX,"1-Hydroxy-2-propanone | 2-Propanone, 1-hydroxy | 2-Propanone, 1-hydroxy- | Hydroxyacetone | hydroxyacetone",Hydroxyacetone,,C3H6O2,,XLSMFKSTNGKWQX,XLSMFKSTNGKWQX,124 (Allium SATIVUM L.); 200 (Tamarindus INDICA L.); 405 (Manihot ESCULENTA Crantz.); 497 (Hibiscus SABDARIFFA L.); 629 (Curcuma LONGA L.),,
HIGH,HQKQRXZEXPXXIG,Cedryl acetate,Cedryl Acetate,,C17H28O2,,HQKQRXZEXPXXIG,HQKQRXZEXPXXIG,75 (Ferula foetida (Bunge) Regel),,
HIGH,LFWQUGCYGMCTQW,"Tricyclo[4.3.1.1(3,8)]undecane",Homoadamantane,,C11H18,,LFWQUGCYGMCTQW,LFWQUGCYGMCTQW,749 (Azadirachta INDICA A. Juss.),,
HIGH,FTFPXINQVCVDEY,"4',5-Dihydroxy-7,8-dimethoxyflavone","4',5-Dihydroxy-7,8-dimethoxyflavone",,C17H14O6,,FTFPXINQVCVDEY,FTFPXINQVCVDEY,70 (Citrus reticulata Blanco),,
HIGH,RUMOYJJNUMEFDD,(S)-(-)-Perillaldehyde | Perilla aldehyde | Perillaaldehyde | Perillaldehyde | perillaldehyde,"Perillaldehyde, (-)-",,C10H14O,,RUMOYJJNUMEFDD,RUMOYJJNUMEFDD,70 (Citrus reticulata Blanco); 624 (Cymbopogon CITRATUS (DC.) Stapf.); 635 (Cuminum CYMINUM L.); 687 (Citrus maxima (Burm.) Merr.),,
HIGH,XCIXKGXIYUWCLL,Cyclopentanol,Cyclopentanol,,C5H10O,,XCIXKGXIYUWCLL,XCIXKGXIYUWCLL,748 (Averrhoa CARAMBOLA L.),,
HIGH,WOYWLLHHWAMFCB,2-ethylhexyl acetate,2-Ethylhexyl Acetate,,C10H20O2,,WOYWLLHHWAMFCB,WOYWLLHHWAMFCB,435 (Leucas ASPERA (Willd.) Link.),,
HIGH,MBKUYULYIBPFSF,A1-Barrigenol,A1-Barrigenol,,C30H50O5,,MBKUYULYIBPFSF,MBKUYULYIBPFSF,796 (Camellia sinensis (L.) O. Kuntze.),,
HIGH,BAYUSCHCCGXLAY,3'-Methoxyacetophenone,3-Methoxyacetophenone,,C9H10O2,,BAYUSCHCCGXLAY,BAYUSCHCCGXLAY,94 (Abrus PRECATORIUS L.),,
HIGH,DTCCTIQRPGSLPT,(E)-2-Pentenal | (E)-2-pentenal | (E)-2-pentenal D | (Z)-2-pentenal | trans-2-Pentenal,(e)-2-Pentenal-d,,C5H8O,,DTCCTIQRPGSLPT,DTCCTIQRPGSLPT,70 (Citrus reticulata Blanco); 200 (Tamarindus INDICA L.); 346 (Ocimum tenuiflorum L.); 407 (Mangifera INDICA L.); 497 (Hibiscus SABDARIFFA L.); 687 (Citrus maxima (Burm.) Merr.),,
HIGH,MBZBBVTYLUNZPJ,15-Norcaryophyllen-3-one,15-Norcaryophyllen-3-one,,C14H22O,,MBZBBVTYLUNZPJ,MBZBBVTYLUNZPJ,128 (Zingiber ZERUMBET (L.) Roscoe ex Sm.),,
HIGH,ISYWECDDZWTKFF,Nonadecanoic acid,Nonadecanoic Acid,,C19H38O2,,ISYWECDDZWTKFF,ISYWECDDZWTKFF,867 (Carica PAPAYA L.); 906 (Cinnamomum TAMALA Nees),,
HIGH,RSDDHGSKLOSQFK,"2H-1-Benzopyran-2-one, 7-[(3,7-dimethyl-2,6-octadienyl) oxy]-, (E)- | 7-geranyloxycoumarin | Auraptene",Auraptene,,C19H22O3,,RSDDHGSKLOSQFK,RSDDHGSKLOSQFK,114 (Aegle MARMELOS (L.) Corr.); 687 (Citrus maxima (Burm.) Merr.),,
HIGH,GNRIZKKCNOBBMO,Mangostin,Mangostin,,C24H26O6,,GNRIZKKCNOBBMO,GNRIZKKCNOBBMO,78 (Holarrhena pubescens Wall.ex G.Don),,
HIGH,AVBRYQRTMPHARE,"Formic acid, octyl ester",Octyl formate,,C9H18O2,,AVBRYQRTMPHARE,AVBRYQRTMPHARE,70 (Citrus reticulata Blanco),,
HIGH,DCXXMTOCNZCJGO,Glyceryl tristearate,Tristearin,,C57H110O6,,DCXXMTOCNZCJGO,DCXXMTOCNZCJGO,867 (Carica PAPAYA L.),,
HIGH,UHQZGHLWHFIZHF,3-ethenyl-Cyclooctene,3-Ethenylcyclooctene,,C10H16,,UHQZGHLWHFIZHF,UHQZGHLWHFIZHF,505 (Heliotropium INDICUM L.),,
HIGH,ACFCPKXNISJZKZ,dehydroionene,Dehydroionene,,C13H18,,ACFCPKXNISJZKZ,ACFCPKXNISJZKZ,407 (Mangifera INDICA L.),,
