inchikey_connectivity,n_chembl_molregno,chembl_ids,chembl_natural_product_flag,n_activity_all,n_activity_usable,n_activity_strict
PPTMWEDTYQRQBC,0,,False,0,0,0
CYHOTEDWAOHQLA,2,CHEMBL552007|CHEMBL558710,True,21,3,2
PYNOHHMFQYUSDD,0,,False,0,0,0
FBQXFNAUEZWOIJ,0,,False,0,0,0
PMCPDNGTLRPFQQ,0,,False,0,0,0
OXEIAZBURAREAS,0,,False,0,0,0
IJFXRHURBJZNAO,1,CHEMBL65369,True,39,8,6
CCCMONHAUSKTEQ,1,CHEMBL3187417,True,0,0,0
FJGNTEKSQVNVTJ,0,,False,0,0,0
YQYPBVVXPDWKMV,0,,False,0,0,0
WAEOXIOXMKNFLQ,0,,False,0,0,0
JCIFZANQIXZLGH,0,,False,0,0,0
VBFPOKFDDDQSGP,0,,False,0,0,0
OMSUIQOIVADKIM,0,,False,0,0,0
AHXXIALEMINDAW,1,CHEMBL3929528,True,2,1,0
XJPBRODHZKDRCB,0,,False,0,0,0
USDOQCCMRDNVAH,1,CHEMBL3120653,True,1,0,0
YJVXDRHQRLHFGY,0,,False,0,0,0
UERQNAZBAUOZKO,0,,False,0,0,0
LCYXQUJDODZYIJ,1,CHEMBL3109299,True,1,0,0
NITFNAYSGQWPSY,0,,False,0,0,0
HIGQPQRQIQDZMP,2,CHEMBL1369384|CHEMBL2268549,True,110,4,4
SMQUZDBALVYZAC,1,CHEMBL108925,True,47,2,2
IZEUIYYDWBKERE,1,CHEMBL2237045,True,2,0,0
NJLNIOKPXKKALD,0,,False,0,0,0
LIRQQKZNKBTPRG,0,,False,0,0,0
ZYHFSUXBIVWHCX,0,,False,0,0,0
NFVSFLUJRHRSJG,0,,False,0,0,0
AVFNYXHRDYAHNF,1,CHEMBL1078436,True,17,6,0
IUBSYMUCCVWXPE,3,CHEMBL13|CHEMBL148306|CHEMBL1741004,True,1582,31,27
OKORHWXYDBSYNO,1,CHEMBL251624,True,5,0,0
ZSBWUNDRDHVNJL,1,CHEMBL4097891,True,1,0,0
AFPLNGZPBSKHHQ,2,CHEMBL1567436|CHEMBL3186547,True,66,0,0
JMOFRLILFOJJEZ,0,,False,0,0,0
IECBDTGWSQNQID,0,,False,0,0,0
MLRYPOCSLBIUHY,1,CHEMBL2228468,True,1,0,0
JJIHLJJYMXLCOY,0,,False,0,0,0
AFBPFSWMIHJQDM,1,CHEMBL170781,True,9,0,0
OZAJLXWKZVWFJS,0,,False,0,0,0
VKJLHZZPVLQJKG,2,CHEMBL1902552|CHEMBL2361872,True,5,0,0
ZELMDXUEWHBWPN,0,,False,0,0,0
YZLMIVGAAHMMQN,0,,False,0,0,0
JZBCTZLGKSYRSF,1,CHEMBL328856,True,1,0,0
AHLPHDHHMVZTML,3,CHEMBL103686|CHEMBL2009502|CHEMBL446143,True,50,0,0
FEWLNYSYJNLUOO,1,CHEMBL1232817,True,1,0,0
HYBLHNGOEIJQDA,0,,False,0,0,0
ZIEAVLBEUVSHIU,0,,False,0,0,0
PQCYCHFQWMNQRJ,0,,False,0,0,0
DFEKLJOGUPRZDV,0,,False,0,0,0
KWFAQPWLROZBAY,0,,False,0,0,0
MFDFERRIHVXMIY,1,CHEMBL569,True,841,1,0
FCQSIIVNJCMJLB,2,CHEMBL3926423|CHEMBL3962650,True,12,0,0
YEMNTFVVXRRILD,0,,False,0,0,0
WJTCGQSWYFHTAC,1,CHEMBL452651,False,4,0,0
FCXPVFLEDIQLLO,0,,False,0,0,0
GDTXICBNEOEPAZ,0,,False,0,0,0
VEVZCONIUDBCDC,1,CHEMBL3184763,False,0,0,0
KGWPFPWQIUAJPK,0,,False,0,0,0
MGPBMQMFPKAALA,0,,False,0,0,0
YPJUNDFVDDCYIH,1,CHEMBL367680,False,1,0,0
XLTBPTGNNLIKRW,0,,False,0,0,0
JJIDUNHDYJESJA,0,,False,0,0,0
ZALYXKJOOUDZCC,0,,False,0,0,0
HNZKNOLXYOCLIC,0,,False,0,0,0
