scientific_name,synonym,family,source_page_url,scrape_timestamp
Raphanus raphanistrum subsp. SATIVUS(L.) Domin.,Raphanus sativus L. Raphani strumgayanum Fisch. & C.A.Mey. Raphanus chinensis Mill. Raphanus cand,Brassicaceae,https://mpbd.cu.ac.bd/plants.php?pageno=3,2026-09-22T15:44:31.936080+00:00
Moringa oleifera Lam.,Guilandina moringa L. Hyperanthera moringa (L.) Vahl Moringa zeylanica Burmann.,Moringaceae,https://mpbd.cu.ac.bd/plants.php?pageno=3,2026-09-22T15:44:31.936080+00:00
Diospyros malabarica(desr.) Kostel.,Diospyros peregrina(Gaertn.) Girke Diospyros citrifolia Wall. ex A.DC. Diospyros biflora Blanco Em,Ebenaceaea,https://mpbd.cu.ac.bd/plants.php?pageno=3,2026-09-22T15:44:31.936080+00:00
Cydonia oblonga Mill.,Cydonia communis Loisel. Cydonia vulgaris Pers. Pyrus cydonia L. Sorbus cydonia Crantz,Rosaceae,https://mpbd.cu.ac.bd/plants.php?pageno=3,2026-09-22T15:44:31.936080+00:00
Prunus amygdalus Stokes,,Rosaceae,https://mpbd.cu.ac.bd/plants.php?pageno=3,2026-09-22T15:44:31.936080+00:00
Acacia nilotica (L.) Delile subsp. INDICA(Benth) Brenan,Acacia arabica var. indica Benth. Acacia nilotica var. indica (Benth.)A.F.Hill,Mimosaceae,https://mpbd.cu.ac.bd/plants.php?pageno=4,2026-09-22T15:44:33.460338+00:00
Entada phaseoloides (L.) Merr.,"Acacia scandens (L.) Willd. Entada scandens (L.) ""Benth. p.p."" Lens phaseoloides L. Pusaetha sca",Mimosaceae,https://mpbd.cu.ac.bd/plants.php?pageno=4,2026-09-22T15:44:33.460338+00:00
Mimosa pudica L.,Mimosa hispidula Kunth Mimosa pudica var. pudica,Mimosaceae,https://mpbd.cu.ac.bd/plants.php?pageno=4,2026-09-22T15:44:33.460338+00:00
Saraca asoca (Roxb.) Wild.,"Jonesia asoca Roxb. Jonesia confusa Hassk. Jonesia pinnata Willd. Saraca indica""sensu Bedd. non",Caesalpiniaceae,https://mpbd.cu.ac.bd/plants.php?pageno=4,2026-09-22T15:44:33.460338+00:00
Clitoria ternatea L.,Clitoria albiflora Mattei Clitoria philippensis Perr. Nauchea ternatea (L.)Descourt. Ternatea te,Fabaceae,https://mpbd.cu.ac.bd/plants.php?pageno=4,2026-09-22T15:44:33.460338+00:00
Glycyrrhiza glabra L.,Glycyrrhiza glandulifera Waldst. & Kit. Glycyrrhiza hirsuta Pall. Glycyrrhiza pallida Boiss.& Noe,Fabaceae,https://mpbd.cu.ac.bd/plants.php?pageno=4,2026-09-22T15:44:33.460338+00:00
Mucuna pruriens (L.) DC.,Carpopogon pruriens (L.) Roxb. Dolichos pruriens L. Mucuna prurita (L.)Hook. Stizolobium pruritu,Fabaceae,https://mpbd.cu.ac.bd/plants.php?pageno=4,2026-09-22T15:44:33.460338+00:00
Pterocarpus SANTALINUS L. f.,Lingoum santalinum (L.f.) Kuntze,Fabaceae,https://mpbd.cu.ac.bd/plants.php?pageno=4,2026-09-22T15:44:33.460338+00:00
Sesbania bispinosa (Jacq.) W.Wight,Sesbania aculeata (Willd.) Pers. Aeschynomene aculeata Schreb. Aeschynomene bispinosa Jacq. Aesc,Fabaceae,https://mpbd.cu.ac.bd/plants.php?pageno=4,2026-09-22T15:44:33.460338+00:00
Sesbania grandiflora (L.) Poir,: Aeschynomene grandiflora (L.) L. Agati grandiflora (L.)Desv. Coronilla grandiflora (L.)Willd.,Fabaceae,https://mpbd.cu.ac.bd/plants.php?pageno=4,2026-09-22T15:44:33.460338+00:00
Sesbania sesban (L.) Merr.,Aeschynomene sesban L. Coronilla sesban Willd. Emerus sesban (L.) Kuntze Sesbania aegyptiaca Poir,Fabaceae,https://mpbd.cu.ac.bd/plants.php?pageno=5,2026-09-22T15:44:34.993453+00:00
Trigonella foenum-graeceum L.,Trigonella tibetana (Alef.) Vassilcz.,Fabaceae,https://mpbd.cu.ac.bd/plants.php?pageno=5,2026-09-22T15:44:34.993453+00:00
Lagerstroemia speciosa(l.) Pers.,Lagerstroemia reginea Roxb. Adambea hirsuta Lam. Lagerstroemia hirsuta (Lam.) Willd. Munchausia s,Lythraceae,https://mpbd.cu.ac.bd/plants.php?pageno=5,2026-09-22T15:44:34.993453+00:00
Eucalyptus globulus Labill,Eucalyptus glauca A.Cunn.ex DC. Eucalyptus perfoliata Desf.,Myrtaceae,https://mpbd.cu.ac.bd/plants.php?pageno=5,2026-09-22T15:44:34.993453+00:00
Mentha arvensis L.,Mentha arguta Opiz. Mentha badensis C.C.Gmel. Mentha diffusa Lej. Mentha hostii Boreau.,Lamiaceae,https://mpbd.cu.ac.bd/plants.php?pageno=5,2026-09-22T15:44:34.993453+00:00
Mentha spicata L.,Mentha crispa L. Mentha rosanii Ten. Mentha viridis (L.) L. Mentha walteriana Opiz.,Lamiaceae,https://mpbd.cu.ac.bd/plants.php?pageno=5,2026-09-22T15:44:34.993453+00:00
Pogostemon PUBESCENS Benth.,-,Lamiaceae,https://mpbd.cu.ac.bd/plants.php?pageno=5,2026-09-22T15:44:34.993453+00:00
Rhinacanthus nasutus (L.) Kurz,Dianthera paniculata Lour. Ecbolium dichotomum (Blume) Kuntze Pseuderanthemum connatum Lindau Rhi,Acanthaceae,https://mpbd.cu.ac.bd/plants.php?pageno=5,2026-09-22T15:44:34.993453+00:00
Sesamum indicum L.,Dysosmon amoenum Raf. Sesamum africanum Tod. Sesamum oleiferum Sm Volkameria orientalis (L.) Kunt,Pedaliaceae,https://mpbd.cu.ac.bd/plants.php?pageno=5,2026-09-22T15:44:34.993453+00:00
Nelumbium speciosum Willd.,-,Rubiaceae,https://mpbd.cu.ac.bd/plants.php?pageno=5,2026-09-22T15:44:34.993453+00:00
Rubia cordifolia L.,Galium cordifolium (L.) Kuntze Rubia cordata Thunb. Rubia javana DC. Rubia purpurea Decne. Rubia,Rubiaceae,https://mpbd.cu.ac.bd/plants.php?pageno=6,2026-09-22T15:47:54.625133+00:00
Artemisia absinthium L.,Absinthium officinale Brot. Artemisia absinthia St.-Lag. Artemisia inodora Mill. Artemisia pendul,Asteraceae,https://mpbd.cu.ac.bd/plants.php?pageno=6,2026-09-22T15:47:54.625133+00:00
Eclipta prostrata (L.) L.,Acmella lanceolata Link ex Spreng. Bellis ramosa Jacq. Cotula alba (L.) L. Eclipta alba (L.) Hass,Asteraceae,https://mpbd.cu.ac.bd/plants.php?pageno=6,2026-09-22T15:47:54.625133+00:00
Cyperus rotandus L.,Chlorocyperus rotundus (L.) Palla Cyperus comosus Sm. Pycreus rotundus (L.) Hayek Schoenus tubero,Cyperaceae,https://mpbd.cu.ac.bd/plants.php?pageno=6,2026-09-22T15:47:54.625133+00:00
Saccharum officinarum L.,Arundo saccharifera Garsault Saccharum monandrum Rottb. Saccharum occidentale Sw. Saccharum viola,Poaceae,https://mpbd.cu.ac.bd/plants.php?pageno=6,2026-09-22T15:47:54.625133+00:00
Hordeum vulgare L.,Hordeum bifarium Roth Hordeum hexastichon L. Hordeum macrolepis A.Braun Hordeum nigrum Willd.,Poaceae,https://mpbd.cu.ac.bd/plants.php?pageno=6,2026-09-22T15:47:54.625133+00:00
Elettaria cardamomum (L.) Maton.,Alpinia cardamomum (L.)Roxb. Amomum cardamomum L. Cardamomum malabaricum Pritz. Zingiber minus Ga,Zingiberaceae,https://mpbd.cu.ac.bd/plants.php?pageno=6,2026-09-22T15:47:54.625133+00:00
Crocus sativus L.,Crocus officinalis (L.)Honck. Crocus pendulus Stokes Geanthus autumnalis Raf. Safran officinarum,Iridaceae,https://mpbd.cu.ac.bd/plants.php?pageno=6,2026-09-22T15:47:54.625133+00:00
Santalum album L.,Sirium myrtifolium L.,Santalaceae,https://mpbd.cu.ac.bd/plants.php?pageno=6,2026-09-22T15:47:54.625133+00:00
Macaranga peltata (Roxb.)Muell.-Arg.,Macaranga roxburghii Wight Mappa peltata(Roxb.) Wight Osyris peltata Roxb. Tanarius peltatus(Roxb.,Euphorbiaceae,https://mpbd.cu.ac.bd/plants.php?pageno=6,2026-09-22T15:47:54.625133+00:00
Mallotus philippensis (Lam.) Muell.-Arg.,Croton philippensis Lam. Echinus philippensis (Lam.) Baill. Mappa stricta Rchb.f. & Zoll. Rottlera t,Euphorbiaceae,https://mpbd.cu.ac.bd/plants.php?pageno=7,2026-09-22T15:47:56.155281+00:00
Phyllanthus niruri L.,Diasperus niruri (L.) Kuntze Nymphanthus niruri (L.)Lour. Phyllanthus humilis Salisb. Urinaria erect,Euphorbiaceae,https://mpbd.cu.ac.bd/plants.php?pageno=7,2026-09-22T15:47:56.155281+00:00
Vitis vinifera L.,Cissus vinifera (L.) Kuntze Vitis sylvestris C.C.Gmel. Vitis vinifera subsp.sativaHegi Vitis vinifer,Vitaceae,https://mpbd.cu.ac.bd/plants.php?pageno=7,2026-09-22T15:47:56.155281+00:00
Sapindus saponaria L.,Sapindus abruptus Lour. Sapindus indica Poir. Sapindus rigidus Mill. Sapindus stenopterus DC. Sap,Sapindaceae,https://mpbd.cu.ac.bd/plants.php?pageno=7,2026-09-22T15:47:56.155281+00:00
Schleichera oleosa (Lour.)Merr.,Pistacia oleosa Lour. Schleichera oleosa(Lour.) Oken,Sapindaceae,https://mpbd.cu.ac.bd/plants.php?pageno=7,2026-09-22T15:47:56.155281+00:00
Commiphora mukul (HOOK. EX STOCKS) ENGL.,Balsamea mukul Baill. Balsamodendrum mukul Hook.ex Stocks Balsamodendrum roxburghii Stocks Balsamod,Burseraceae,https://mpbd.cu.ac.bd/plants.php?pageno=7,2026-09-22T15:47:56.155281+00:00
Semecarpus anacardium L. F.,,Anacardiaceae,https://mpbd.cu.ac.bd/plants.php?pageno=7,2026-09-22T15:47:56.155281+00:00
Citrus limon (L.) Osbeck,Citrus bergamia Risso & Poit. Citrus limonia Osbeck Citrus vulgaris Ferrarius ex Mill. Limon vu,Rutaceae,https://mpbd.cu.ac.bd/plants.php?pageno=7,2026-09-22T15:47:56.155281+00:00
Citrus medica L.,Aurantium medicum (L.) M. Gómez Citrus alata( Tanaka) Tanaka Citrus odorata Roussel Citrus tuberos,Rutaceae,https://mpbd.cu.ac.bd/plants.php?pageno=7,2026-09-22T15:47:56.155281+00:00
Citrus reticulata Blanco,Citrus crenatifolia Lush. Citrus deliciosa Ten. Citrus papillaris Blanco Citrus succosa Tanaka,Rutaceae,https://mpbd.cu.ac.bd/plants.php?pageno=7,2026-09-22T15:47:56.155281+00:00
Murraya koenigii (L.)Spreng.,Bergera koenigii L.,Rutaceae,https://mpbd.cu.ac.bd/plants.php?pageno=8,2026-09-22T15:47:57.682413+00:00
Peganum harmala L.,Harmala multifida All. Harmala peganum Crantz Peganon harmalum (L.) St.-Lag. Peganum dauricum L.,Zygophyllaceae,https://mpbd.cu.ac.bd/plants.php?pageno=8,2026-09-22T15:47:57.682413+00:00
