plant_index,compound_name_original,pubchem_cid_original,match_type,drop_reason
27,"2,6-Bis[2-[2-Sthiosulfuroethylamino]ethoxy ]pyrazine",,no_match,unresolved_script01_no_match
27,"2,6-Di-butyl-2,5-cyclohexadiene-1",,no_match,unresolved_script01_no_match
27,"2?Fluoro?6?trifluora methyl benzoic acid, 4?nitraphenyl ester",,skipped_encoding_loss,unresolved_script01_skipped_encoding_loss
27,2?Pyrrolidinone (5?(cyclo hexyl methyl)?,,skipped_encoding_loss,unresolved_script01_skipped_encoding_loss
27,"4?Methyl?2,4?bis (4?trimethylsilyloxyphenyl} pentene?l",,skipped_encoding_loss,unresolved_script01_skipped_encoding_loss
27,5-hydroxy-2-(hydroxyl methyl)-4H-pyran-4-one,,no_match,unresolved_script01_no_match
27,"5?-androstane-3,17-dione 17monooxime",,skipped_encoding_loss,unresolved_script01_skipped_encoding_loss
27,"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9diene-2,8-dione",,no_match,unresolved_script01_no_match
27,"7-(Isobut-1-yl)cyclohepta-1,3,5-tr",,no_match,unresolved_script01_no_match
27,"7-Propyl-1,3,5-cycloheptatriene",272807074,CID-based,empty_smiles
27,"Acetamide, N-methyl-N-[4[4-fluoro-1hexahydropyridyl]-2butynyl]-",,no_match,unresolved_script01_no_match
27,"Benzene, 1,10-(1,2-cyclobutanediyl",,no_match,unresolved_script01_no_match
27,"Cyclopropaneoctanoic acid, 2-[[-2-[(-2ethylcyclopropyl)-methyl]-cyclopropyl]methyl], methyl ester",,no_match,unresolved_script01_no_match
27,Dimethylaminato [4-methyl-2-,,no_match,unresolved_script01_no_match
27,Isopropyl(dimethyl)silylpalmitate,,no_match,unresolved_script01_no_match
27,Methyl commateC,,no_match,unresolved_script01_no_match
27,"Morphinan-3-ol-6-one, 4methoxy-",,no_match,unresolved_script01_no_match
27,"N,N'-Pentamethylenebis[s-3aminopropyl thiosulfuric acid",,no_match,unresolved_script01_no_match
27,N-Methoxy-1-ribofuranosyl4-imidazolecarboxylic amide,,no_match,unresolved_script01_no_match
