plant_index,compound_name_original,pubchem_cid_original,match_type,drop_reason
867,Proteinase omega,,no_match,unresolved_script01_no_match
867,Quimiopapain,,no_match,unresolved_script01_no_match
867,beta-sitosterol trimethylsilyl ester,,no_match,unresolved_script01_no_match
867,lsothiocyanatomethyl benzene,,no_match,unresolved_script01_no_match
867,n-benzyl-n-phenylethylisobutyramide,,no_match,unresolved_script01_no_match
867,p-Coumarin,,no_match,unresolved_script01_no_match
872,1-O-Methylchrysophanol,272730083,CID-based,empty_smiles
872,"22,23-dibromostigmasterol acetate",249905390,CID-based,empty_smiles
872,Furoaloesone,275124113,CID-based,empty_smiles
872,"Glycine ,N-[(3±,5ß,12±)-3,12-dihydroxy-24-oxocholan-24-yl]-",405416867,CID-based,empty_smiles
872,(E)-7-Methoxy-6-(3'-methylbuta-1'.3'-dienyl) coumarin,,no_match,unresolved_script01_no_match
872,"1 1alpha, 17 alpha-dihydroxyprogesterone",,no_match,unresolved_script01_no_match
872,"1,2-Benzenedicarboxyl ic acid, bis(2-ethylhexyl) ester",,no_match,unresolved_script01_no_match
872,"2,5-Furandione, 3-dodecenyl",,no_match,unresolved_script01_no_match
872,"2,6, Hydroxyl cholesterol",,no_match,unresolved_script01_no_match
872,"2,6,10,14,18,22-Tetracosahexae ne, 2,6, 0,15,19.23-hexam -ethyl-(all-E)",,no_match,unresolved_script01_no_match
872,3-Methyl-5-propy l nonane,,no_match,unresolved_script01_no_match
872,3-Methyl-5-propyl nonane,,no_match,unresolved_script01_no_match
872,"5,8,1 1-Eicosatrienoic acid, methyl ester",,no_match,unresolved_script01_no_match
872,"5-(4,8-Dimethylnonyl)-5-methyldihydro-2(3H)-furanone",,no_match,unresolved_script01_no_match
872,"Cholest-5-en-3-ol, 24-propylidene",,no_match,unresolved_script01_no_match
872,DL-Citronel l ol,,no_match,unresolved_script01_no_match
872,"Ergosta-4,22-d ien-3-one",,no_match,unresolved_script01_no_match
872,"Hexadecano icacid, methyl ester",,no_match,unresolved_script01_no_match
872,Hexadecanoic acid. 2-hyd roxy-1-(hydroxy -methyl)ethyl ester,,no_match,unresolved_script01_no_match
872,L-Proline. N-(3-tri fluoro methyl benzoyl)-nonyl ester,,no_match,unresolved_script01_no_match
872,Lupeolacetate,,no_match,unresolved_script01_no_match
872,Methyl cis-6-octadecenoa te,,no_match,unresolved_script01_no_match
872,Octadecanoic acid. 2-hyd roxy-1-(hydroxy-methyl)ethyl ester,,no_match,unresolved_script01_no_match
872,"Octadecanoic acid, 2-hydroxy-1-(hydroxymethyl) ethyl ester",,no_match,unresolved_script01_no_match
872,"Phenol, 2.4-bis( l ,1-dimethylethyl)",,no_match,unresolved_script01_no_match
872,"Phenol,2,4-bis( 1.1-dimethylethyl)",,no_match,unresolved_script01_no_match
